"state_id","treatment_strategy","patient_risk_group","prob_healthy_to_sick","prob_sick_to_recovered","prob_sick_to_dead","prob_recovered_to_sick","prob_progression","cost_healthy_state","cost_sick_state","cost_recovered_state","cost_treatment_annual","cost_monitoring","utility_healthy","utility_sick","utility_recovered","utility_treatment","cycle_length","time_horizon"
13,"Combination Therapy","Intermediate Risk",0.119930498837493,0.380812712572515,0.0336921233404428,0.230724942870438,0.486035015480593,920.767421823756,8044.29423095983,3074.80915891913,8704.20355625633,2248.57861121949,0.950735000171699,0.47548012372572,0.839582704356872,0.750138163100928,1,17
14,"Watch and Wait","Low Risk",0.0561733939219266,0.630752718448639,0.0104547536373138,0.149762520100921,0.258893079916015,1305.69351532919,10351.8101525623,3492.47652424835,12336.1394841949,2605.96308417501,0.985093252151273,0.408546315808781,0.856324342289008,0.666628759261221,1,17
15,"Immediate Treatment","Intermediate Risk",0.126484923181124,0.308658572845161,0.0107998664584011,0.2684836411383,0.330830024322495,1526.67234792589,8139.81182205738,2732.72095787127,12702.0981466956,2226.2771859439,0.948934531747364,0.406533713638783,0.854101801034994,0.731617948459461,1,19
16,"Combination Therapy","Intermediate Risk",0.074521273211576,0.372690855897963,0.0164806096814573,0.291019027447328,0.260987809789367,1208.54257303133,7285.40790322199,2277.51272845693,17216.1247470637,1617.69752446373,0.947360730706714,0.437272298336029,0.875111989444122,0.713219299912453,1,10
17,"Combination Therapy","Low Risk",0.061770619195886,0.494612099509686,0.0127327413391322,0.190912342770025,0.477698758128099,1195.88394655753,8623.49370985927,2874.81288703424,12164.770255393,2313.94555493485,0.919867873098701,0.424372486909851,0.830703005217947,0.621650290768594,1,20
18,"Combination Therapy","Intermediate Risk",0.130504854558967,0.696800134051591,0.0290504185669124,0.287713206605986,0.367779598152265,976.955811242329,7414.19635694469,2019.73975526801,14778.6550714095,1481.16631014119,0.949207841046155,0.464500716538168,0.86679908358492,0.711175054032356,1,20
19,"Combination Therapy","Intermediate Risk",0.148287064745091,0.373498175106943,0.0493287861160934,0.136479791859165,0.312517232634127,766.451251238986,9975.53278817638,2477.52685438112,15492.6523955307,2133.6260124158,0.961378224892542,0.474901266489178,0.836998047237285,0.706049676425755,1,18
20,"Combination Therapy","High Risk",0.0853265274781734,0.301895950734615,0.0274456565547734,0.216986434208229,0.249348813388497,1018.46197739344,7179.62757976644,2992.93755933242,13782.629583747,2423.58826336463,0.973090627440251,0.644734235131182,0.878246769518591,0.691435561794788,1,10
21,"Watch and Wait","Low Risk",0.0586485728621483,0.347262438945472,0.0479218671098351,0.179899535374716,0.491115485923365,1020.72392486015,8494.21852663818,2481.51888820563,11404.6651261341,1854.41151288783,0.952772413915955,0.62992908495944,0.875751157477498,0.7617528708186,1,13
22,"Watch and Wait","High Risk",0.0505621028598398,0.501095174252987,0.0234844275843352,0.291099846363068,0.315235246624798,1029.36611548385,6887.91416574486,3400.9288990015,11191.2277218242,1756.67457553443,0.966289714328013,0.587204177281819,0.832831607642584,0.68010506411083,1,15
23,"Watch and Wait","High Risk",0.0939660622505471,0.430770421866328,0.0296929306071252,0.130703002586961,0.345681048580445,997.412493667146,6316.10996312171,2974.07575513583,12943.7238298411,1559.54158828384,0.990296211303212,0.516638674843125,0.877069815737195,0.707153514586389,1,11
24,"Watch and Wait","High Risk",0.069549890817143,0.518803371768445,0.0435427343752235,0.199362750258297,0.266108269663528,1280.52028868979,6078.73792250933,2516.27204640466,13411.8901205792,2096.62169347891,0.937147289328277,0.461236640205607,0.889822750096209,0.731085850019008,1,15
25,"Watch and Wait","Intermediate Risk",0.0558029072359204,0.584717028122395,0.0430418844893575,0.248590299487114,0.300445761601441,1318.34539174156,8167.37623442745,3445.797088515,12584.7776300704,2520.90883848785,0.930903733265586,0.536892227618955,0.877309849415906,0.721374832838774,1,16
26,"Immediate Treatment","Intermediate Risk",0.129275748180225,0.476200682017952,0.0156958638038486,0.141341407969594,0.3957727098139,1200.47625107597,6705.42667471692,2811.59899556082,7371.25601107242,1884.939023045,0.912830159277655,0.415960558992811,0.807032265374437,0.767986000329256,1,19
27,"Watch and Wait","Intermediate Risk",0.0812477080849931,0.514832343906164,0.0146181013900787,0.181120285624638,0.425918591627851,852.905440060991,8674.60720927425,3302.32818338403,14645.4793668867,2609.15684831681,0.982454034895636,0.507884718687274,0.863665694277734,0.673453709483147,1,11
28,"Immediate Treatment","Low Risk",0.0834839381976053,0.60909268213436,0.01017916476354,0.195963616156951,0.259607317880727,1025.77767646728,8481.10169409732,3063.58567576977,10333.1366431164,1859.5173774251,0.988145037041977,0.530172534496523,0.896607565740123,0.669367436505854,1,14
29,"Combination Therapy","Low Risk",0.148541663493961,0.589780241809785,0.0396496447268873,0.190031120600179,0.285727104148828,1295.03794684682,10261.7378492948,2941.09167239029,12036.9267038974,2072.00538103192,0.917324386001565,0.460721051390283,0.887350218673237,0.787187487306073,1,20
30,"Combination Therapy","Intermediate Risk",0.0842872234759852,0.519742456078529,0.0412975014653057,0.206369997980073,0.259820534847677,1130.18964786099,7903.32964112398,2494.97152173413,8323.82054224639,1880.38949724023,0.904356033052318,0.411350250663236,0.846725952019915,0.785343229677528,1,10
31,"Immediate Treatment","High Risk",0.119427960296161,0.398782830033451,0.0185257800947875,0.174600732792169,0.369948620675132,861.764959285395,6830.75241342072,1680.28023766472,16756.3791730564,2229.31825169976,0.960812682961114,0.534453742625192,0.872984110144898,0.606567839626223,1,17
32,"Combination Therapy","Intermediate Risk",0.0942051786929369,0.387307348754257,0.0307195289246738,0.11188612668775,0.250415844889358,939.522117835801,11015.2258023944,2008.37501379044,15750.593114263,2260.10548711039,0.991612182650715,0.475726933963597,0.85820209053345,0.640371932927519,1,17
33,"Immediate Treatment","Low Risk",0.0863898447249085,0.556635352689773,0.0176683055609465,0.273106231493875,0.483089343761094,797.789387203809,9305.46791835464,2230.96182865982,13087.4397816839,2026.00462305802,0.914638755214401,0.536570383352228,0.838687597680837,0.649083527829498,1,18
34,"Combination Therapy","High Risk",0.126407319027931,0.668294028099626,0.028272153493017,0.186383223719895,0.351322425506078,1176.31143233944,8337.15734540615,2624.03977398552,10868.7338132076,1675.24003335589,0.929425195115618,0.51371633624658,0.847681099036709,0.795465685008094,1,20
35,"Watch and Wait","Low Risk",0.127570445393212,0.675001573283225,0.0310633271094412,0.121296217851341,0.214120840281248,891.411066118758,6670.58293517717,3567.27117051531,8652.61387809224,2510.45814757719,0.982770873606205,0.658368179877289,0.890175474015996,0.785995328985155,1,15
36,"Immediate Treatment","Intermediate Risk",0.0811681134393439,0.453765060193837,0.0239126287214458,0.167550330236554,0.466342167323455,1201.8770835581,7547.38340044749,2694.92078344618,12295.0822018943,1612.33983963474,0.998102835519239,0.666773650306277,0.819959967769682,0.758795092161745,1,15
37,"Watch and Wait","Low Risk",0.0760426334571093,0.358358953148127,0.0396607795823365,0.186166394688189,0.259033279051073,1275.70212161786,10642.2375852049,2054.91758842205,14810.9512728034,2070.91484778842,0.967577287531458,0.616987108788453,0.835101878456771,0.635692200064659,1,16
38,"Combination Therapy","Intermediate Risk",0.118294800654985,0.591717530135065,0.0118320688977838,0.237677640095353,0.256110254884698,1188.70100332264,6908.28636054608,2530.82094813933,11541.1849990903,1298.56439123214,0.941887962119654,0.644451050926,0.832043337100186,0.671770674083382,1,12
39,"Watch and Wait","High Risk",0.122465532459319,0.494696335867047,0.0213856250792742,0.11266019246541,0.369837918574922,919.579572316155,8661.36835129491,3181.00424245291,14408.4342114149,2332.42471066293,0.938230704842135,0.579230650910176,0.861204775678925,0.761607393110171,1,18
40,"Combination Therapy","Low Risk",0.121672967355698,0.401017025019973,0.0168147968035191,0.159526049625129,0.375897466624156,783.597383814218,8648.08204223043,3148.93941323961,18274.0191906675,1738.4678165207,0.929067392717116,0.574235848127864,0.893529707752168,0.603353225300089,1,11
41,"Immediate Treatment","High Risk",0.0937518932158127,0.631118255946785,0.0210024504642934,0.19781789323315,0.490991425723769,843.224390620138,8664.56864588803,2528.20798907347,8647.02252567538,2056.01812209471,0.944445269741118,0.48417886137031,0.844137795409188,0.794170908816159,1,17
42,"Watch and Wait","High Risk",0.0654134820681065,0.35783957792446,0.0377627140749246,0.237035041674972,0.276762325456366,1020.79128935131,8404.63839022837,2718.27710980959,14027.1323093521,2462.8555745727,0.951643052138388,0.524348347913474,0.898095855140127,0.669059374509379,1,14
43,"Watch and Wait","Intermediate Risk",0.0607725620735437,0.537818949576467,0.0439098285511136,0.199214001884684,0.439790611481294,930.923331006542,7546.57976545093,3055.74313786816,17094.1566891065,2746.33986446447,0.963422951521352,0.419814561982639,0.808645861712284,0.640642931638286,1,20
44,"Combination Therapy","Intermediate Risk",0.0975332284811884,0.408924371562898,0.0303002435807139,0.240824257256463,0.24145511619281,1224.8875144473,8786.68084252957,2716.09371649727,8372.32954226438,1865.05419103002,0.99060886693187,0.493831803184003,0.81453135877382,0.672814216045663,1,11
45,"Watch and Wait","Intermediate Risk",0.143042954429984,0.676242230646312,0.048141543418169,0.228575879940763,0.273477877816185,1002.97390697774,7132.79394385324,3032.91422867962,15345.1124534769,2270.9314869707,0.970288399397396,0.610301319067366,0.862207819940522,0.720719791343436,1,13
46,"Watch and Wait","Intermediate Risk",0.0795183213893324,0.35811679083854,0.0131185030099005,0.177999602723867,0.458717707195319,568.671750327205,8901.86225686872,3443.8158128637,2934.6449362185,2471.82693808327,0.903517502499744,0.617929104226641,0.863879839982837,0.785152870742604,1,16
47,"Combination Therapy","Low Risk",0.0953483486082405,0.664377384632826,0.030904220752418,0.201448540342972,0.38535652642604,1176.39679346731,7754.6977951178,3154.37910523811,13610.1323288692,1485.64702881825,0.989241559733637,0.428226702939719,0.805931738391519,0.78682626504451,1,16
48,"Immediate Treatment","Low Risk",0.116164424200542,0.581208026316017,0.0390054957009852,0.196529717603698,0.28538028083276,1378.29268632239,9177.03823484622,3224.5918353312,13105.6096315301,2338.26602711557,0.937904543243349,0.424493102426641,0.829541740100831,0.729325859667733,1,14
49,"Combination Therapy","Intermediate Risk",0.0915558458305895,0.410648353025317,0.01401198242791,0.248777133459225,0.396005651843734,899.157108618073,6539.43671758606,3350.75141659046,9507.88941730196,1309.78081246562,0.934165682457388,0.463094515027478,0.888478805939667,0.712115479167551,1,14
50,"Immediate Treatment","High Risk",0.0565741871949285,0.324128012545407,0.0413670977205038,0.298275842890143,0.484241245454177,1073.31419248762,7517.97308024998,2508.55140038451,7765.30578147409,2006.20842572572,0.961583544500172,0.508482433529571,0.853598209330812,0.60685892929323,1,10
51,"Combination Therapy","Intermediate Risk",0.0603921910747886,0.582424404099584,0.0279984878655523,0.199062472954392,0.337716968194582,949.708002373963,9280.05565421764,2772.85483888374,19478.3684586617,1758.97036900215,0.926843136479147,0.538304710178636,0.868883775011636,0.75727171888575,1,20
52,"Watch and Wait","Intermediate Risk",0.143811858468689,0.365566460322589,0.027858040202409,0.287838518805802,0.273813502350822,771.124582694234,9763.72787590757,3154.66414795843,12489.4923369013,2202.07059058277,0.955873817298561,0.667254350008443,0.86362820174545,0.721490638330579,1,20
53,"Immediate Treatment","Intermediate Risk",0.143917221389711,0.370721241179854,0.0392044620309025,0.208035604516044,0.359529841551557,900.233388903176,8373.30111621912,2147.60060006721,9468.89089173619,1511.382750361,0.999798674928024,0.679550198861398,0.861507584201172,0.602930975612253,1,16
54,"Immediate Treatment","High Risk",0.141085165925324,0.504342884477228,0.0297385206818581,0.287999722640961,0.42332254438661,968.9676136086,7687.03819368736,2457.64317255223,18396.6950156692,2420.2750650587,0.954615452769212,0.462397812562995,0.830239695729688,0.634577924385667,1,15
55,"Immediate Treatment","Low Risk",0.0644561163149774,0.435419951193035,0.0142900317162275,0.283119541173801,0.246198726259172,922.278829070925,8948.107754293,2917.65773943531,15301.4449594863,3113.98161114614,0.918165753711946,0.672866237093694,0.842310863081366,0.797414111346006,1,17
56,"Immediate Treatment","Intermediate Risk",0.0699654555413872,0.317248068656772,0.0468241269700229,0.204633996775374,0.459994872100651,1059.62215151982,8624.81140040259,2500.36317697041,11984.8569159977,1853.67758734716,0.937322197086178,0.419026382570155,0.861305919196457,0.608896306483075,1,20
57,"Combination Therapy","Low Risk",0.116192329139449,0.637260456569493,0.0196080794092268,0.259989135619253,0.393406372750178,725.336838192074,9892.87391906828,3646.88787428884,14476.9500948388,2512.70127382848,0.962358053983189,0.493748066085391,0.824252041964792,0.607383333984762,1,17
58,"Immediate Treatment","Intermediate Risk",0.0751468984177336,0.422727495897561,0.0361407611239702,0.140103234676644,0.49515551624354,1199.36426695906,11150.8114591565,3701.96960799983,12461.5586331419,891.907272835145,0.91270667721983,0.550109287374653,0.895234957523644,0.76419236571528,1,17
59,"Watch and Wait","Low Risk",0.133628029143438,0.492567496933043,0.0453704340942204,0.285909753618762,0.248095268197358,815.82594703979,8307.5226109651,2739.03873535184,10730.4436935512,2263.5712858655,0.985631928546354,0.682194903749041,0.889574253116734,0.673876301012933,1,15
60,"Watch and Wait","Intermediate Risk",0.0681810370180756,0.452085006702691,0.0455497554782778,0.2432084036991,0.260898431390524,960.700469760748,10165.2938891799,3209.07985514954,10866.7265134844,1736.41736809645,0.999789059208706,0.584819010552019,0.813986262911931,0.745262995967642,1,14
61,"Combination Therapy","Intermediate Risk",0.144794000126421,0.563207680545747,0.0490212882403284,0.252766689565033,0.451950465422124,1093.17346283351,8888.93365871263,2521.25763140438,11531.8327099031,2312.48813977758,0.900451109139249,0.697704663383774,0.850799240567721,0.623196706781164,1,19
62,"Immediate Treatment","Low Risk",0.0945696944603696,0.664344542566687,0.0292809153813869,0.205266021890566,0.359135569748469,1162.48529366095,9043.7468294364,2767.60119996886,9160.51362919208,2526.26553348474,0.907333607110195,0.686813793890178,0.834536996623501,0.668913977593183,1,20
63,"Watch and Wait","Low Risk",0.136272929282859,0.619249936938286,0.0138471959717572,0.161560606909916,0.234867351362482,691.490116770737,8758.28985937647,2786.74517768087,11918.6218003365,1460.10385731795,0.989587563439272,0.524716315208934,0.896071272296831,0.748566496744752,1,17
64,"Combination Therapy","Low Risk",0.0808172201504931,0.459352900926024,0.0472198004182428,0.299966248730198,0.447595461341552,814.879644439337,6980.65617038011,3386.64048134163,19085.9421057452,1868.33455400084,0.983737930259667,0.454621681338176,0.86168464559596,0.784941597888246,1,14
65,"Watch and Wait","Low Risk",0.138127466640435,0.355705499555916,0.0226535252295434,0.20660745119676,0.45343608497642,957.041042847073,8330.15160292425,3035.96482662921,7172.80439970757,2403.9655179659,0.979962161020376,0.574649753351696,0.862857088888995,0.776754130283371,1,12
66,"Immediate Treatment","Intermediate Risk",0.104484140058048,0.420154869370162,0.0287934135552496,0.105337240966037,0.292385297012515,736.020690591906,6966.34388709015,3111.56520498367,12460.1552550839,2361.2268618563,0.913396517629735,0.489769270177931,0.8645585432183,0.675488444138318,1,13
67,"Combination Therapy","High Risk",0.113722021738067,0.411925282608718,0.03224215939641,0.109206529241055,0.470961222867481,1041.31786953498,9043.26944166006,2559.60160954728,14996.4651086873,1677.9205513398,0.931869248789735,0.556334943859838,0.897998644202016,0.79254094962962,1,14
68,"Watch and Wait","High Risk",0.0530381401302293,0.401438213605434,0.0428249885234982,0.183926594816148,0.41720878421329,953.778594039263,6356.36196646546,3065.5713720875,9463.44417074826,2025.14613789668,0.902280998858623,0.667754164990038,0.852694179280661,0.609191444003955,1,18
69,"Watch and Wait","Intermediate Risk",0.0909299268387258,0.612880445457995,0.0354345850180835,0.216528031975031,0.46499885704834,1407.82324513638,10066.2419153432,3138.87048350008,18705.6948086657,1089.95908596932,0.932430688105524,0.661919528548606,0.857449571206234,0.629564283927903,1,10
70,"Combination Therapy","Low Risk",0.106298699881881,0.569056904874742,0.0246052148658782,0.286211551493034,0.300008302880451,688.375694534327,9792.30574661981,3439.917794046,6095.93325937989,1890.42531143379,0.955990268965252,0.518316235439852,0.863556686509401,0.763767937710509,1,16
71,"Watch and Wait","Intermediate Risk",0.064009976061061,0.481754299812019,0.0292048584949225,0.189819199079648,0.498875420307741,947.430067415767,9874.16961339,2744.25476475608,8918.03245099211,2009.07849652342,0.955273020686582,0.413524044933729,0.817136565293185,0.794517960213125,1,13
72,"Combination Therapy","Low Risk",0.100620835321024,0.44987691193819,0.015629581650719,0.103585955360904,0.238560785446316,747.05067668116,8697.68454796196,3071.66423725475,6235.55475641159,2725.57122153111,0.998252632608637,0.585857825982384,0.843464068137109,0.649967523850501,1,13
73,"Watch and Wait","Low Risk",0.10650981857907,0.409317314531654,0.0195315424259752,0.269094244297594,0.208345473115332,826.268842009635,7052.78473612416,3164.53898204573,6051.30107329268,2246.29965379684,0.998771803430282,0.494676255900413,0.891065754275769,0.725208554696292,1,17
74,"Watch and Wait","Intermediate Risk",0.0554732385324314,0.417318732012063,0.0436693090666085,0.179513479443267,0.203791270940565,1297.9339628373,7464.37759769378,2480.48108818261,9679.94138978848,1962.90213385563,0.973538788361475,0.604279266973026,0.857533869566396,0.710921547422185,1,19
75,"Immediate Treatment","Intermediate Risk",0.120918843359686,0.488561984617263,0.0425006266590208,0.24087294684723,0.266287893499248,711.674963138986,7396.30206037957,2326.58635696229,7331.26516739715,2409.91513264072,0.982822215370834,0.514666301896796,0.890844267071225,0.649103289470077,1,18
76,"Combination Therapy","Intermediate Risk",0.110871563665569,0.455945613794029,0.0495664868596941,0.226167170377448,0.408979264949448,1260.09685472003,6172.43056130081,3365.3396323622,9018.52167134265,2118.40265707054,0.905074782855809,0.67024359840434,0.847261475259438,0.635588120250031,1,14
77,"Watch and Wait","High Risk",0.0651374123990536,0.309944623056799,0.0391772754769772,0.273692268226296,0.209703219681978,923.40626458472,5906.49411558752,3435.17013913591,18834.7522993729,2325.82289920555,0.923448851518333,0.66792176393792,0.827569395420142,0.762931796303019,1,16
78,"Immediate Treatment","Intermediate Risk",0.102191190002486,0.64264586372301,0.0248903314210474,0.182615340966731,0.30986312024761,1132.59265121317,10106.8104664397,3163.82329939105,11258.2459785219,1794.90832945236,0.925511624710634,0.646126815630123,0.882028459291905,0.619207686837763,1,18
79,"Combination Therapy","High Risk",0.129331248369999,0.355928240064532,0.0304151472635567,0.297968657221645,0.354023074009456,778.121748914869,7081.56460776026,3453.05096983268,16200.46275945,2346.82274936286,0.928728918661363,0.617457238561474,0.852650339342654,0.774713015090674,1,14
80,"Watch and Wait","Low Risk",0.090882313461043,0.676615778449923,0.047162563521415,0.135145448055118,0.487127154972404,1177.97002229449,9217.84836698265,3474.54610199469,6645.47123556833,2267.3726320352,0.922653453657404,0.545097654499114,0.876131831482053,0.73411001842469,1,15
81,"Immediate Treatment","Low Risk",0.0815861936891451,0.524032058008015,0.033138839546591,0.139950079238042,0.231287399865687,1219.94462955246,5643.0848611536,3613.33776110042,10853.9585460066,2373.53929506273,0.92930369945243,0.451068503735587,0.817048921179958,0.617777743889019,1,13
82,"Immediate Treatment","Low Risk",0.0994727618526667,0.404030277300626,0.0262545487750322,0.190270877536386,0.239639059803449,712.877622781458,9979.52799055789,3043.18892850929,10212.3869697654,1951.36438247648,0.912607726152055,0.42960122351069,0.84923847776372,0.636881939508021,1,12
83,"Combination Therapy","Intermediate Risk",0.114893000409938,0.315950411558151,0.0184754799678922,0.191714760661125,0.385525980498642,1203.30404135761,7429.35530771507,3399.87004058634,18983.7149304574,2415.97039440099,0.971019872045144,0.511614798102528,0.842047208570875,0.61727595217526,1,17
84,"Immediate Treatment","High Risk",0.114986246847548,0.503274568077177,0.0428849943354726,0.281927576242015,0.293781523779035,949.193605028054,10566.0063311628,2610.60422634,10649.4176752928,1534.93738359647,0.984793410846032,0.540519413724542,0.890542990458198,0.658811330795288,1,12
85,"Immediate Treatment","Low Risk",0.100230258400552,0.498596158437431,0.0296664545126259,0.195394489495084,0.346761031728238,1285.72346582263,5296.66717809575,2592.26733558841,13753.7327625813,1579.2084936076,0.998620261624455,0.684849077742547,0.80458288572263,0.712787809642032,1,13
86,"Immediate Treatment","Low Risk",0.113560055289417,0.449159677047282,0.0164513860084116,0.117755188466981,0.437078741146252,888.860396366029,5732.41884565392,3912.03092807408,14322.8876206023,1820.70404827094,0.999339469126426,0.631095425458625,0.856764676910825,0.753098454093561,1,16
87,"Immediate Treatment","Low Risk",0.0862827403005213,0.528107402380556,0.0383956859167665,0.155998977459967,0.204593927087262,1045.95976263396,7044.97016828274,3027.3809586351,12711.1026847877,2492.79015501598,0.944734980771318,0.491757594235241,0.884201523847878,0.735818186122924,1,20
88,"Watch and Wait","Low Risk",0.0833011443726718,0.687349034938961,0.0343436048552394,0.284288333076984,0.319112865487114,866.760399248542,6372.37575109587,2445.11554430991,10270.8925784753,2375.07274571004,0.907306796777993,0.669746962748468,0.871864353236742,0.601039578579366,1,20
89,"Watch and Wait","Low Risk",0.0541217970428988,0.332716518547386,0.014414131604135,0.291958638327196,0.402158170146868,1088.66046652192,9988.9752632344,2928.87722074319,14161.5139163444,2393.89942085202,0.964148395787925,0.574848652631044,0.882463467516936,0.673436769237742,1,18
90,"Watch and Wait","Low Risk",0.137496472313069,0.589064286462963,0.018901384761557,0.263930887728929,0.406173888337798,1221.0712411389,8889.9574406037,2733.89847561353,14519.8363973263,1804.60389083021,0.979453679569997,0.624105166806839,0.859013990918174,0.634864660119638,1,11
91,"Watch and Wait","Intermediate Risk",0.101856500934809,0.613763143122196,0.0318629218637943,0.134712159773335,0.471235324861482,1143.54372848641,7745.42333108754,2056.46194057222,9593.73800644678,2465.32683654283,0.960431268555112,0.689634392317384,0.806662316457369,0.652650235872716,1,17
92,"Immediate Treatment","Intermediate Risk",0.0985429010121152,0.314994691871107,0.0135267899092287,0.121620297245681,0.473581294319592,788.096260403669,7047.88482587125,2957.32480921696,12666.9826654415,1998.31589194148,0.914311058237217,0.419175428035669,0.8270116772037,0.787387448269874,1,10
93,"Combination Therapy","Low Risk",0.0631040825042874,0.380504614859819,0.0151623412128538,0.184103392902762,0.279369308287278,1244.44038168569,8038.4578997187,3329.86327697638,9328.34652265187,1689.14535738698,0.998237938783131,0.591714881290682,0.842846855008975,0.776154419593513,1,19
94,"Combination Therapy","Low Risk",0.0945989132858813,0.43284190222621,0.0397509591188282,0.113341755094007,0.495575852622278,904.720362642122,7791.17543211201,3459.1720039519,13572.1774891462,1672.27165298936,0.986308976705186,0.565066702780314,0.876853481424041,0.699570250324905,1,19
95,"Combination Therapy","Low Risk",0.0717236585216597,0.526785922236741,0.0453217046707869,0.227037834748626,0.220328253414482,1049.28453123198,8619.11021913476,3037.79362835051,10871.9927346546,2042.74246385727,0.908086270536296,0.567297889757901,0.854491497552954,0.789843079540879,1,18
96,"Combination Therapy","Low Risk",0.132757303980179,0.304372486099601,0.0478505001217127,0.202755240211263,0.356147441384383,1262.51083904437,9168.62438243543,3931.48190372413,8417.52660573513,2770.40417062415,0.95872965620365,0.438684145407751,0.803212062991224,0.609233953570947,1,17
97,"Watch and Wait","Low Risk",0.13023108385969,0.334120788332075,0.020283540841192,0.213969090441242,0.46526922120247,1066.02255203621,7761.20172452322,3169.60516087103,13825.7609859872,2254.3901529964,0.935482686874457,0.4432813804131,0.829884810955264,0.687739569554105,1,19
98,"Immediate Treatment","Intermediate Risk",0.133941132202744,0.485186236165464,0.0186080047301948,0.222535136854276,0.260296565340832,912.34350152993,9458.01670344428,1782.52314139752,10739.2121145173,1916.75925546428,0.938849659170955,0.494958901498467,0.816638616635464,0.69605855550617,1,15
99,"Watch and Wait","Intermediate Risk",0.146111640543677,0.479965496063232,0.0183370376564562,0.192435533786193,0.376749037532136,1087.6441612705,10396.2255177341,3755.97624099587,14804.0703363703,1842.35184038968,0.974778903159313,0.605569347622804,0.846327200322412,0.770149988355115,1,12
100,"Combination Therapy","Low Risk",0.0741754563292489,0.603709016367793,0.0175352619122714,0.276445987075567,0.241713829291984,914.18150926236,9057.13257327433,2587.35733159402,7759.88829045012,1632.96520709018,0.976116366893984,0.440799712063745,0.873487567109987,0.703628573613241,1,12
101,"Watch and Wait","Intermediate Risk",0.130112366029061,0.647240526136011,0.0179316279478371,0.180949847027659,0.479845012468286,946.816141866752,9876.95345807957,2807.76761470635,8633.44657482294,1177.71972802261,0.918873348226771,0.668466021446511,0.846092206076719,0.657809498067945,1,18
