"time","event","x1","x2","x3","x4","x5","x6","x7","x8","x9","x10"
40.3,"1",-0.2123,-0.1185,-0.4671,-0.7509,-0.685,0.4773,-0.5303,0.5175,0.0965,-0.172
3,"1",1.7302,1.6227,2.2709,1.5445,1.5142,0.1766,-1.1639,-2.5441,0.4005,-1.1557
10.4,"1",0.8396,0.962,0.3365,1.4139,1.3221,0.171,-0.4646,0.1474,0.6411,0.3174
5.5,"0",0.5911,0.6604,0.6566,-0.9204,-1.1049,0.0113,0.3781,-0.8418,0.4422,-0.264
30,"1",0.2785,0.1212,0.8967,-0.0978,-0.1371,-1.3304,1.3084,-1.9803,1.1142,0.7937
15.7,"1",-0.4389,-0.4966,-0.4458,-0.833,-0.4616,-0.312,0.549,-0.6897,-0.5121,-0.907
11.3,"0",0.8017,0.93,0.7818,0.8396,0.9051,-0.1193,-1.0022,0.6664,-1.2157,0.3897
33.9,"0",0.1934,0.2906,0.6786,0.5224,0.5212,-0.8726,1.5706,-1.3059,0.5851,-0.4453
34,"0",-0.3354,-0.3711,-0.403,0.9461,1.0902,-2.3845,0.5453,-0.198,0.3477,-0.8637
11.7,"1",-0.1239,-0.1469,-0.2661,-1.8658,-1.8885,1.8938,-0.8851,-0.3324,1.7572,1.4015
1.4,"1",-1.23,-1.1425,-1.5143,-0.0263,-0.246,-0.0581,-0.0906,-1.3038,-0.259,-0.0081
0.9,"0",0.7327,0.763,0.6669,0.419,0.6925,-0.992,-0.7313,0.2601,0.7791,-0.5898
2.5,"1",-0.0545,-0.04,0.1369,1.9832,2.082,-0.208,-0.3468,1.8135,1.4505,0.7551
72.5,"1",-1.4795,-1.2978,-0.9887,-1.0864,-1.0196,-1.7431,1.3258,0.7477,-0.2938,-2.0219
11,"1",-0.2565,-0.1544,0.1923,-1.4656,-1.5596,-1.0435,-0.5767,1.5447,-0.0043,-0.524
1.3,"0",1.1462,1.1808,1.248,-0.0966,-0.0281,0.1577,0.275,-0.2709,-2.7924,-2.1694
28,"1",1.1868,1.1703,1.6676,0.2622,0.1754,-1.0471,-1.0037,-0.7876,-0.9352,-0.614
25.9,"1",-0.5571,-0.6393,-0.6193,2.4944,2.4105,-0.7879,-2.1706,-0.4656,-2.2374,2.169
1.3,"0",-0.8771,-1.006,-0.7029,-0.5457,-0.56,1.8702,0.8377,-1.907,0.0575,0.5703
12.4,"1",-1.8267,-1.633,-1.9624,-1.3261,-1.3773,-0.3546,1.2898,-0.6316,-0.4257,0.773
5.3,"1",1.282,1.1375,1.8464,0.4931,0.662,-0.9874,0.7003,-1.2992,-1.404,-0.4606
8.8,"1",0.5397,0.515,0.2479,-0.331,-0.3025,1.0136,1.113,0.1328,2.1411,0.1136
1.1,"1",-0.8493,-0.9376,-1.0844,-0.7135,-0.8001,1.9702,-1.4022,0.3238,0.0796,0.5487
0.3,"0",0.5145,0.4098,1.1086,-0.0574,-0.132,-0.6961,0.7337,0.1494,0.795,2.0411
5.1,"0",-0.2972,-0.208,-0.2646,-1.3003,-1.441,0.368,1.3633,-0.6676,0.4381,-0.6509
9.6,"0",-0.5036,-0.5481,-0.3854,0.7999,0.7821,-0.0938,-0.3453,-0.6588,-1.3231,-0.6168
5.5,"0",-0.3723,-0.359,-0.3151,0.342,0.5124,-1.2617,-0.4854,-0.0711,0.5908,-1.2261
2.6,"0",0.4827,0.5747,0.6875,0.8048,0.7761,-0.6904,-0.6935,2.1194,0.572,-2.5982
30.6,"0",-0.9144,-1.0191,-0.825,0.29,0.3092,0.257,1.0281,0.4243,-1.6869,1.3211
37.6,"1",-0.1503,-0.3437,-0.1195,-0.9991,-1.175,0.8041,-0.3309,-0.2347,0.9019,-0.3877
7,"1",1.7642,1.7618,1.3785,1.4961,1.3945,-0.0027,-3.0738,2.4293,-0.4583,0.0183
9.1,"1",-0.1115,-0.1053,0.1191,0.9584,0.7619,1.9772,0.0787,0.162,-0.0055,-0.427
2.8,"0",-1.0646,-0.9597,-1.1113,0.573,0.5746,-0.1132,-0.6287,-1.3132,0.1682,-1.3356
13.6,"0",-0.3291,-0.2366,0.0618,1.8511,1.8977,-0.7915,1.5225,0.3237,0.1139,-1.6488
44.8,"0",-1.5423,-1.5388,-1.3438,1.1243,0.8406,-1.161,-0.398,-0.3587,0.3211,-0.9533
28.5,"1",-0.2525,-0.3285,-0.4407,1.644,1.5382,-0.7226,0.949,-0.3503,0.1612,0.8204
36.4,"1",0.061,0.0042,0.2482,-0.6711,-0.4654,0.7146,-0.0596,0.6839,-0.1579,0.3804
2.9,"1",0.9294,1.0003,1.0624,1.4273,1.4061,1.6932,-2.0255,0.3581,-3.018,-0.5051
6.6,"1",0.1162,0.0955,0.1559,-0.1816,0.0481,1.3287,-0.0347,0.5056,-0.6719,-0.5496
0.5,"0",-1.5039,-1.5157,-0.9745,0.8762,0.7795,1.6049,1.5074,-1.054,-0.7793,-0.4446
4.2,"0",-0.5355,-0.4573,-0.3132,0.0562,0.2287,-0.8793,0.2769,-0.1335,0.105,-2.2399
34,"1",-0.0841,0.1267,-0.3134,1.0677,0.8147,-0.9276,2.0625,-0.082,0.7585,-0.649
33.4,"1",0.1406,0.067,-0.3281,1.0381,1.1344,0.6338,-0.3869,0.9693,0.9395,-1.4456
2.3,"1",0.9896,0.9309,0.3677,-0.4722,-0.185,-2.3334,-0.4505,0.5119,2.3767,0.6312
32.2,"1",0.6143,0.552,0.5905,-0.3342,-0.2888,0.7304,-1.07,-0.0764,0.032,1.0773
6.4,"1",-1.2227,-1.257,-0.5802,-0.0209,-0.1945,-0.4177,-1.3032,0.1378,-0.8798,-1.102
1.9,"0",-0.8178,-0.7903,-0.6721,-0.5921,-0.3986,0.2377,-0.3149,-0.1973,-1.1414,-1.8126
20.4,"1",1.345,1.4505,1.0573,-0.9321,-0.9174,-0.8334,-0.6917,0.7297,1.1449,-0.4532
36.6,"1",-0.7149,-0.8527,-0.3911,0.8401,0.9562,0.9117,-0.3997,-1.2429,-1.1893,1.2398
39.8,"1",-0.1045,-0.0752,-0.2503,-0.3923,-0.4403,-0.2992,-0.1414,0.3588,-0.0591,-1.3957
58,"1",-0.7205,-0.8434,-0.9931,-1.3101,-1.1493,0.8953,-0.2567,-0.6266,1.3975,0.4468
0.7,"1",0.6327,0.6989,0.9679,-0.4043,-0.5267,0.2599,2.0579,1.4208,0.786,0.6587
13,"1",2.4739,2.3967,2.8388,-0.8207,-0.6984,0.0817,-0.1017,0.2323,-1.7786,1.2805
12.4,"1",0.441,0.308,0.1869,-0.7039,-0.531,0.6174,-1.0754,1.9115,0.6466,-0.4386
4.7,"1",0.8103,0.8493,1.5012,0.8667,0.8657,-0.4777,1.6672,0.469,1.1741,0.5158
20.5,"1",-0.757,-0.5711,-0.8836,1.2734,0.9281,1.029,0.0685,-0.1414,-1.2021,-0.2417
4.5,"1",-0.2297,-0.0752,-0.1253,-1.3477,-1.3431,0.8876,-0.4083,-1.2396,-0.9139,-0.4477
0.6,"1",1.8807,1.9693,2.2152,0.3809,0.4802,-0.5671,1.0062,-0.3569,-0.9283,-1.6189
14.3,"1",0.4596,0.442,0.1587,-0.7767,-1.0117,0.1244,-0.9098,-0.7245,2.0251,-1.7341
3.2,"1",-1.1773,-1.1825,-0.9639,-1.2442,-1.286,-0.0327,-0.145,-0.3029,-0.1434,0.6815
8.7,"0",-0.0161,0.1557,0.2034,-1.0218,-0.9551,-0.0742,-1.4118,0.0579,-0.8625,2.083
41.2,"1",0.8686,0.7894,1.3211,0.6338,0.6352,0.6966,0.3024,-0.0273,-0.3286,-0.0334
0.3,"0",0.7788,0.6866,1.1038,-0.1715,-0.0545,0.3156,-0.7026,-0.2263,0.4901,0.2913
19.1,"1",-0.3403,-0.2265,-0.0368,-0.5589,-0.7388,1.0056,-1.5242,-1.5944,-1.4276,0.7968
11.4,"1",0.5653,0.3523,0.6687,1.0902,0.9997,1.0266,-0.303,0.9681,0.8702,0.3038
28.2,"1",0.5878,0.6847,0.7521,-1.49,-1.6181,0.2555,-0.2721,-0.0353,0.0579,0.6959
2.4,"1",-0.4018,-0.4115,-0.0813,-1.2072,-1.4136,1.509,1.211,-1.2264,0.9222,-0.2204
2.1,"1",0.6373,0.7519,0.3449,-1.1702,-1.0908,2.1739,-1.1556,-0.8241,-0.2839,0.1528
0.2,"0",-1.5735,-1.6636,-1.5432,0.1829,0.03,-0.3008,0.6125,0.324,-0.4471,-1.9395
14.2,"1",0.0441,0.0937,-0.3874,0.5567,0.5003,-1.4346,1.5688,1.0331,-1.0951,0.5743
17,"0",0.5593,0.5529,0.613,1.0664,1.1102,0.3832,-0.0078,-0.6932,1.4341,1.4813
4.2,"1",0.2147,0.2982,0.1094,-1.6155,-1.7326,1.1978,0.6194,-0.754,0.092,-0.8722
54.1,"1",-0.1777,-0.3591,0.1023,-0.3441,-0.387,-1.3603,-1.0644,-1.5131,-2.3466,0.0942
15.2,"1",0.855,0.9605,1.2191,0.6115,0.5365,-0.8681,0.0619,-0.4973,0.0984,-1.2851
37.7,"1",-1.4199,-1.1801,-1.5402,0.377,0.1658,-0.1044,1.1279,-0.8943,-1.6339,-0.5221
14.7,"0",0.2912,0.1935,-0.166,0.7201,0.9685,0.9706,-0.5289,-1.2361,1.5741,0.5591
19.7,"1",-0.5367,-0.5904,-0.6953,0.9188,0.6382,0.5937,-0.5905,-0.251,0.2192,0.3063
3.4,"1",-1.6051,-1.7358,-1.975,-1.1834,-1.2342,1.4847,-1.604,0.1592,0.2573,-0.9096
15.6,"1",-0.443,-0.5418,-0.3045,-0.281,-0.3973,-0.1316,0.1355,0.13,1.2538,-0.4993
10.5,"0",-1.137,-1.2339,-0.7894,-0.9871,-0.9689,-0.0646,1.8391,-0.5358,-0.2804,-0.8418
3.9,"1",0.5299,0.4585,0.0762,0.2521,0.1259,1.1496,-0.2669,-0.7592,0.6913,0.0394
3,"0",-0.3502,-0.5468,-0.0055,-1.685,-1.6642,1.0912,-0.6885,-1.9675,-1.1163,0.2228
9.9,"1",0.2145,0.402,0.0778,1.2605,1.3536,0.9059,0.3658,-0.6652,-0.4301,1.0885
21.7,"1",-0.1757,-0.2163,-0.3186,0.734,0.7744,0.8019,0.081,-0.7373,0.2999,0.2274
65.9,"0",-1.0857,-1.2455,-0.8118,0.5704,0.5847,-1.1939,-1.406,0.3451,-0.158,2.9162
8.2,"0",-0.1051,-0.1107,-0.3078,2.4315,2.4757,-0.3046,1.3003,0.1734,0.1302,-0.5768
1.9,"1",-0.1898,-0.1763,-0.3181,-0.6317,-0.5512,0.0762,1.0212,-0.5696,-0.4823,1.1583
3.7,"0",0.1984,0.2248,0.5243,0.4661,0.3314,0.3594,1.2345,-0.1753,-1.95,-0.6147
24.5,"1",0.6529,0.5714,0.1939,1.7946,1.8167,-1.5715,0.9292,0.3922,1.2903,-0.7521
26.1,"1",-0.4594,-0.5122,-0.5149,0.4041,0.3974,0.0634,1.1743,-0.8553,-0.7286,-0.7384
25.7,"0",0.2086,0.0982,0.3291,0.4977,0.6896,-1.7764,-0.3934,0.0017,-0.039,0.5998
1.9,"1",1.2324,1.4001,1.6043,1.7077,1.754,1.1705,-1.9066,0.2928,-0.1274,1.3618
9,"1",-0.8806,-0.8488,-0.8553,0.5368,0.4223,-0.3397,0.5848,0.7592,-0.6394,-1.437
9,"1",2.7166,2.8609,2.5581,-0.1271,-0.0998,-0.5196,-0.1627,1.2715,1.2737,-1.0594
22.4,"1",0.2419,0.3302,0.0497,1.4105,1.283,0.5918,-1.913,-0.5659,0.0868,0.9646
5,"1",0.4929,0.6032,1.128,0.0911,-0.0314,-0.0788,1.2082,-0.5441,-0.9209,-0.4686
6.7,"0",-0.6135,-0.6051,-0.757,-0.1303,0.0204,-1.7164,0.3959,0.8296,1.006,-0.0403
7.9,"0",-0.4215,-0.4498,0.0654,2.1581,2.0927,0.6024,1.1543,0.8532,0.8147,-0.8224
20.8,"1",-0.2291,-0.2986,-0.1696,0.1388,0.1618,-0.5009,-0.7153,0.4707,-1.051,-0.3564
72.5,"0",-0.2765,-0.3264,-0.0411,0.1306,0.1422,-0.8073,0.4983,-0.0168,-0.01,-1.1811
32.8,"1",-0.0864,-0.0536,0.1248,1.5669,1.6396,-0.5154,1.0171,1.4598,0.6708,-0.0993
0.3,"0",-0.8207,-0.8638,-0.5486,-0.5153,-0.6433,0.501,0.385,-0.179,1.1496,0.3
6,"1",0.6965,0.5622,0.6871,0.3562,0.1668,-0.0482,0.382,0.003,-0.7673,-1.9649
13,"1",-1.1092,-1.1676,-1.3644,2.1022,2.2843,-0.3548,-0.0254,0.1511,0.1045,-1.2368
14.2,"1",-0.3395,-0.2814,-0.3692,-1.7251,-1.9514,-0.0534,0.4514,0.4693,0.0153,0.8931
32.3,"1",0.9342,0.9638,0.7829,0.0261,0.0853,-1.1267,-1.1676,0.8123,0.3179,1.9524
24,"1",0.2283,0.3989,0.6801,-0.2515,-0.5955,-0.6004,0.1226,-1.467,0.9057,-0.6555
20.8,"1",0.0599,0.2356,-0.1755,0.6561,0.6097,-0.6215,0.6767,-0.1846,0.3354,-1.045
25.5,"0",-1.7086,-1.8892,-1.4853,-1.1143,-1.1579,0.9422,0.0196,0.4689,-0.8055,-0.4923
21.6,"1",-1.2986,-1.3856,-1.093,-1.5469,-1.6493,2.0152,0.5456,1.4141,-0.2133,0.3982
1.6,"1",0.9759,1.0705,0.8116,-0.0226,0.091,2.576,0.5328,0.5736,-1.6826,0.748
11.5,"1",0.8921,0.8867,1.0439,1.2297,1.2134,-1.0267,-0.6949,0.2123,1.573,1.1351
123.2,"0",-1.3054,-1.3651,-1.2204,-0.7,-1.1038,-1.6356,-0.2648,0.55,0.6116,0.9823
3.8,"1",-0.0242,0.0105,-0.3089,1.261,1.1837,-1.1027,0.6509,-0.8672,0.7261,-0.0842
32.4,"0",-0.1329,0.0512,-0.4505,-0.2718,-0.3201,-1.4574,0.4925,-0.4611,-1.212,-0.2102
51,"1",-0.089,-0.0164,0.452,1.1538,1.2812,0.291,0.4813,1.7784,0.4171,1.3519
5.2,"1",-0.8529,-0.8471,-0.6812,-0.8778,-0.9981,1.4437,0.6837,-0.8772,0.1166,-0.1532
50.8,"1",-0.4012,-0.4548,-0.6422,1.1479,0.9992,1.2795,-0.8691,-1.6966,-0.1719,-1.6706
10.2,"1",2.0118,1.8578,2.2445,-0.7626,-0.9982,-0.0066,-1.3136,-0.1602,-0.4724,1.409
18.7,"0",-0.7654,-0.7727,-0.6038,-0.3014,-0.2149,-0.4119,0.4673,-1.0097,1.0128,-0.8388
8,"1",-0.28,-0.4747,-0.1962,0.3567,0.3166,-0.4216,-0.9328,0.2322,-1.8628,-0.0605
14,"1",0.9545,1.0553,1.0864,-0.4813,-0.3731,-2.4004,-0.0595,-0.7408,0.507,-0.4902
28.9,"0",-1.1192,-1.1147,-0.9636,-0.2384,-0.3508,0.2789,0.1395,0.1369,1.0608,-0.8152
8.6,"0",0.9094,0.7653,1.3278,-0.0579,-0.0729,1.1485,0.4482,0.1014,1.5237,-0.5685
20.2,"1",-0.0294,-0.1435,-0.7976,-0.9309,-0.9864,0.4246,-1.3381,-0.2251,-0.4443,-1.2501
2.5,"0",-1.4006,-1.3135,-1.6101,0.8875,0.7911,0.1316,0.4574,0.8571,-1.2662,-0.9655
5.2,"1",0.1877,0.0788,0.2862,0.8196,0.7883,1.0735,0.9613,1.2121,-0.1173,0.7862
12.2,"1",0.4487,0.4687,0.7497,0.5549,0.6073,0.1613,-0.5235,1.0782,0.2065,-1.9702
13.1,"1",0.0997,-0.0299,0.724,-0.5192,-0.3116,-0.6933,-0.5551,-0.447,1.0095,-0.9809
2.5,"1",0.9597,1.0451,0.6568,-1.2326,-1.3746,0.171,-0.1631,0.0863,-0.1648,0.6552
72.3,"0",-1.2226,-1.1985,-0.8321,0.1907,0.1646,0.0769,-0.3079,-0.4934,-0.1315,-0.9568
1.6,"1",0.0275,0.0938,0.0783,-1.3844,-1.3661,-0.4757,0.9168,-0.0146,-1.0439,-1.1695
34.6,"1",0.11,0.063,0.0132,-1.9172,-1.8578,-0.0979,-0.1757,0.2184,1.1878,-1.3701
75.7,"0",-0.4953,-0.5109,-0.5571,0.0708,0.0163,-0.1096,0.7877,1.5541,1.7268,-0.5767
