"week_numeric","year_week","department","admissions"
1036,"2022-W44","Emergency",138
1043,"2022-W45","Emergency",114
1050,"2022-W46","Emergency",132
1057,"2022-W47","Emergency",113
1064,"2022-W48","Emergency",157
1071,"2022-W49","Emergency",139
1078,"2022-W50","Emergency",139
1085,"2022-W51","Emergency",131
1092,"2022-W52","Emergency",153
1099,"2023-W01","Emergency",145
1106,"2023-W02","Emergency",153
1113,"2023-W03","Emergency",183
1120,"2023-W04","Emergency",164
1127,"2023-W05","Emergency",154
1134,"2023-W06","Emergency",175
1141,"2023-W07","Emergency",169
1148,"2023-W08","Emergency",185
1155,"2023-W09","Emergency",200
1162,"2023-W10","Emergency",164
1169,"2023-W11","Emergency",187
1176,"2023-W12","Emergency",181
1183,"2023-W13","Emergency",193
1190,"2023-W14","Emergency",176
1197,"2023-W15","Emergency",191
1204,"2023-W16","Emergency",150
1211,"2023-W17","Emergency",200
1218,"2023-W18","Emergency",185
1225,"2023-W19","Emergency",168
1232,"2023-W20","Emergency",145
1239,"2023-W21","Emergency",174
1246,"2023-W22","Emergency",168
1253,"2023-W23","Emergency",157
1260,"2023-W24","Emergency",156
1267,"2023-W25","Emergency",141
1274,"2023-W26","Emergency",152
1281,"2023-W27","Emergency",147
1288,"2023-W28","Emergency",135
1295,"2023-W29","Emergency",116
1302,"2023-W30","Emergency",143
1309,"2023-W31","Emergency",138
1316,"2023-W32","Emergency",115
1323,"2023-W33","Emergency",101
1330,"2023-W34","Emergency",127
1337,"2023-W35","Emergency",117
1344,"2023-W36","Emergency",125
1351,"2023-W37","Emergency",101
1358,"2023-W38","Emergency",106
1365,"2023-W39","Emergency",137
1372,"2023-W40","Emergency",127
1379,"2023-W41","Emergency",131
1386,"2023-W42","Emergency",151
1393,"2023-W43","Emergency",127
1400,"2023-W44","Emergency",98
1407,"2023-W45","Emergency",135
1414,"2023-W46","Emergency",151
1421,"2023-W47","Emergency",167
1428,"2023-W48","Emergency",119
1435,"2023-W49","Emergency",126
1442,"2023-W50","Emergency",136
1449,"2023-W51","Emergency",134
1456,"2023-W52","Emergency",144
0,"2020-W01","ICU",38
7,"2020-W02","ICU",41
14,"2020-W03","ICU",57
21,"2020-W04","ICU",60
28,"2020-W05","ICU",71
35,"2020-W06","ICU",85
42,"2020-W07","ICU",97
49,"2020-W08","ICU",111
56,"2020-W09","ICU",128
63,"2020-W10","ICU",134
70,"2020-W11","ICU",137
77,"2020-W12","ICU",145
84,"2020-W13","ICU",141
91,"2020-W14","ICU",134
98,"2020-W15","ICU",122
105,"2020-W16","ICU",114
112,"2020-W17","ICU",99
119,"2020-W18","ICU",88
126,"2020-W19","ICU",73
133,"2020-W20","ICU",60
140,"2020-W21","ICU",57
147,"2020-W22","ICU",45
154,"2020-W23","ICU",44
161,"2020-W24","ICU",33
168,"2020-W25","ICU",33
175,"2020-W26","ICU",31
182,"2020-W27","ICU",29
189,"2020-W28","ICU",34
196,"2020-W29","ICU",29
203,"2020-W30","ICU",30
210,"2020-W31","ICU",26
217,"2020-W32","ICU",28
224,"2020-W33","ICU",34
231,"2020-W34","ICU",37
238,"2020-W35","ICU",40
245,"2020-W36","ICU",36
252,"2020-W37","ICU",51
259,"2020-W38","ICU",54
266,"2020-W39","ICU",57
273,"2020-W40","ICU",66
280,"2020-W41","ICU",68
287,"2020-W42","ICU",74
294,"2020-W43","ICU",83
301,"2020-W44","ICU",83
308,"2020-W45","ICU",90
315,"2020-W46","ICU",94
322,"2020-W47","ICU",86
329,"2020-W48","ICU",84
336,"2020-W49","ICU",81
343,"2020-W50","ICU",73
350,"2020-W51","ICU",68
357,"2020-W52","ICU",66
364,"2020-W53","ICU",60
371,"2021-W01","ICU",53
378,"2021-W02","ICU",42
385,"2021-W03","ICU",44
392,"2021-W04","ICU",44
399,"2021-W05","ICU",41
406,"2021-W06","ICU",37
413,"2021-W07","ICU",29
420,"2021-W08","ICU",37
427,"2021-W09","ICU",38
434,"2021-W10","ICU",36
441,"2021-W11","ICU",37
448,"2021-W12","ICU",38
455,"2021-W13","ICU",35
462,"2021-W14","ICU",41
469,"2021-W15","ICU",39
476,"2021-W16","ICU",35
483,"2021-W17","ICU",45
490,"2021-W18","ICU",47
497,"2021-W19","ICU",50
504,"2021-W20","ICU",48
511,"2021-W21","ICU",58
518,"2021-W22","ICU",68
525,"2021-W23","ICU",74
532,"2021-W24","ICU",81
539,"2021-W25","ICU",92
546,"2021-W26","ICU",84
553,"2021-W27","ICU",79
560,"2021-W28","ICU",83
567,"2021-W29","ICU",74
574,"2021-W30","ICU",70
581,"2021-W31","ICU",58
588,"2021-W32","ICU",59
595,"2021-W33","ICU",45
602,"2021-W34","ICU",38
609,"2021-W35","ICU",34
616,"2021-W36","ICU",33
623,"2021-W37","ICU",28
630,"2021-W38","ICU",22
637,"2021-W39","ICU",26
644,"2021-W40","ICU",29
651,"2021-W41","ICU",27
658,"2021-W42","ICU",31
665,"2021-W43","ICU",32
672,"2021-W44","ICU",37
679,"2021-W45","ICU",44
686,"2021-W46","ICU",53
693,"2021-W47","ICU",54
700,"2021-W48","ICU",67
707,"2021-W49","ICU",74
714,"2021-W50","ICU",78
721,"2021-W51","ICU",81
728,"2021-W52","ICU",83
735,"2022-W01","ICU",84
742,"2022-W02","ICU",76
749,"2022-W03","ICU",68
756,"2022-W04","ICU",63
763,"2022-W05","ICU",52
770,"2022-W06","ICU",53
777,"2022-W07","ICU",44
784,"2022-W08","ICU",42
791,"2022-W09","ICU",39
798,"2022-W10","ICU",38
805,"2022-W11","ICU",42
812,"2022-W12","ICU",34
819,"2022-W13","ICU",40
826,"2022-W14","ICU",36
833,"2022-W15","ICU",33
840,"2022-W16","ICU",35
847,"2022-W17","ICU",37
854,"2022-W18","ICU",33
861,"2022-W19","ICU",32
868,"2022-W20","ICU",34
875,"2022-W21","ICU",36
882,"2022-W22","ICU",32
889,"2022-W23","ICU",27
896,"2022-W24","ICU",27
903,"2022-W25","ICU",28
910,"2022-W26","ICU",28
917,"2022-W27","ICU",28
924,"2022-W28","ICU",30
931,"2022-W29","ICU",26
938,"2022-W30","ICU",23
945,"2022-W31","ICU",28
952,"2022-W32","ICU",26
959,"2022-W33","ICU",29
966,"2022-W34","ICU",20
973,"2022-W35","ICU",25
980,"2022-W36","ICU",28
987,"2022-W37","ICU",26
994,"2022-W38","ICU",22
1001,"2022-W39","ICU",26
1008,"2022-W40","ICU",22
1015,"2022-W41","ICU",23
1022,"2022-W42","ICU",28
1029,"2022-W43","ICU",24
1036,"2022-W44","ICU",28
1043,"2022-W45","ICU",25
1050,"2022-W46","ICU",22
1057,"2022-W47","ICU",25
1064,"2022-W48","ICU",25
1071,"2022-W49","ICU",27
1078,"2022-W50","ICU",28
1085,"2022-W51","ICU",30
1092,"2022-W52","ICU",30
1099,"2023-W01","ICU",37
1106,"2023-W02","ICU",28
1113,"2023-W03","ICU",32
1120,"2023-W04","ICU",34
1127,"2023-W05","ICU",39
1134,"2023-W06","ICU",35
1141,"2023-W07","ICU",39
1148,"2023-W08","ICU",30
1155,"2023-W09","ICU",40
1162,"2023-W10","ICU",34
1169,"2023-W11","ICU",35
1176,"2023-W12","ICU",33
1183,"2023-W13","ICU",36
1190,"2023-W14","ICU",41
1197,"2023-W15","ICU",43
1204,"2023-W16","ICU",32
1211,"2023-W17","ICU",36
1218,"2023-W18","ICU",39
1225,"2023-W19","ICU",33
1232,"2023-W20","ICU",33
1239,"2023-W21","ICU",32
1246,"2023-W22","ICU",34
1253,"2023-W23","ICU",36
1260,"2023-W24","ICU",33
1267,"2023-W25","ICU",31
1274,"2023-W26","ICU",28
1281,"2023-W27","ICU",30
1288,"2023-W28","ICU",26
1295,"2023-W29","ICU",26
1302,"2023-W30","ICU",30
1309,"2023-W31","ICU",27
1316,"2023-W32","ICU",26
1323,"2023-W33","ICU",24
1330,"2023-W34","ICU",27
1337,"2023-W35","ICU",28
1344,"2023-W36","ICU",22
1351,"2023-W37","ICU",24
1358,"2023-W38","ICU",24
1365,"2023-W39","ICU",22
1372,"2023-W40","ICU",21
1379,"2023-W41","ICU",24
1386,"2023-W42","ICU",27
1393,"2023-W43","ICU",29
1400,"2023-W44","ICU",20
1407,"2023-W45","ICU",24
1414,"2023-W46","ICU",26
1421,"2023-W47","ICU",22
1428,"2023-W48","ICU",26
1435,"2023-W49","ICU",26
1442,"2023-W50","ICU",27
1449,"2023-W51","ICU",23
1456,"2023-W52","ICU",31
0,"2020-W01","General_Ward",220
7,"2020-W02","General_Ward",283
14,"2020-W03","General_Ward",294
21,"2020-W04","General_Ward",281
28,"2020-W05","General_Ward",350
35,"2020-W06","General_Ward",380
42,"2020-W07","General_Ward",457
49,"2020-W08","General_Ward",488
56,"2020-W09","General_Ward",519
63,"2020-W10","General_Ward",575
70,"2020-W11","General_Ward",593
77,"2020-W12","General_Ward",596
84,"2020-W13","General_Ward",633
91,"2020-W14","General_Ward",561
98,"2020-W15","General_Ward",529
105,"2020-W16","General_Ward",465
112,"2020-W17","General_Ward",449
119,"2020-W18","General_Ward",421
126,"2020-W19","General_Ward",318
133,"2020-W20","General_Ward",316
140,"2020-W21","General_Ward",265
147,"2020-W22","General_Ward",292
154,"2020-W23","General_Ward",270
161,"2020-W24","General_Ward",234
168,"2020-W25","General_Ward",244
175,"2020-W26","General_Ward",189
182,"2020-W27","General_Ward",219
189,"2020-W28","General_Ward",182
196,"2020-W29","General_Ward",196
203,"2020-W30","General_Ward",181
210,"2020-W31","General_Ward",181
217,"2020-W32","General_Ward",198
224,"2020-W33","General_Ward",164
231,"2020-W34","General_Ward",191
238,"2020-W35","General_Ward",208
245,"2020-W36","General_Ward",209
252,"2020-W37","General_Ward",235
259,"2020-W38","General_Ward",246
266,"2020-W39","General_Ward",307
273,"2020-W40","General_Ward",312
280,"2020-W41","General_Ward",381
287,"2020-W42","General_Ward",329
294,"2020-W43","General_Ward",381
301,"2020-W44","General_Ward",423
308,"2020-W45","General_Ward",397
315,"2020-W46","General_Ward",374
322,"2020-W47","General_Ward",373
329,"2020-W48","General_Ward",384
336,"2020-W49","General_Ward",397
343,"2020-W50","General_Ward",369
350,"2020-W51","General_Ward",292
357,"2020-W52","General_Ward",301
364,"2020-W53","General_Ward",296
371,"2021-W01","General_Ward",251
378,"2021-W02","General_Ward",281
385,"2021-W03","General_Ward",207
392,"2021-W04","General_Ward",252
399,"2021-W05","General_Ward",236
406,"2021-W06","General_Ward",232
413,"2021-W07","General_Ward",234
420,"2021-W08","General_Ward",246
427,"2021-W09","General_Ward",248
434,"2021-W10","General_Ward",236
441,"2021-W11","General_Ward",202
448,"2021-W12","General_Ward",213
455,"2021-W13","General_Ward",213
462,"2021-W14","General_Ward",258
469,"2021-W15","General_Ward",240
476,"2021-W16","General_Ward",255
483,"2021-W17","General_Ward",225
490,"2021-W18","General_Ward",256
497,"2021-W19","General_Ward",293
504,"2021-W20","General_Ward",298
511,"2021-W21","General_Ward",323
518,"2021-W22","General_Ward",350
525,"2021-W23","General_Ward",402
532,"2021-W24","General_Ward",389
539,"2021-W25","General_Ward",431
546,"2021-W26","General_Ward",442
553,"2021-W27","General_Ward",395
560,"2021-W28","General_Ward",406
567,"2021-W29","General_Ward",378
574,"2021-W30","General_Ward",368
581,"2021-W31","General_Ward",331
588,"2021-W32","General_Ward",279
595,"2021-W33","General_Ward",251
602,"2021-W34","General_Ward",208
609,"2021-W35","General_Ward",198
616,"2021-W36","General_Ward",166
623,"2021-W37","General_Ward",157
630,"2021-W38","General_Ward",146
637,"2021-W39","General_Ward",185
644,"2021-W40","General_Ward",192
651,"2021-W41","General_Ward",166
658,"2021-W42","General_Ward",161
665,"2021-W43","General_Ward",195
672,"2021-W44","General_Ward",261
679,"2021-W45","General_Ward",283
686,"2021-W46","General_Ward",238
693,"2021-W47","General_Ward",301
700,"2021-W48","General_Ward",375
707,"2021-W49","General_Ward",377
714,"2021-W50","General_Ward",436
721,"2021-W51","General_Ward",413
728,"2021-W52","General_Ward",436
735,"2022-W01","General_Ward",420
742,"2022-W02","General_Ward",461
749,"2022-W03","General_Ward",389
756,"2022-W04","General_Ward",319
763,"2022-W05","General_Ward",304
770,"2022-W06","General_Ward",300
777,"2022-W07","General_Ward",236
784,"2022-W08","General_Ward",225
791,"2022-W09","General_Ward",230
798,"2022-W10","General_Ward",240
805,"2022-W11","General_Ward",269
812,"2022-W12","General_Ward",237
819,"2022-W13","General_Ward",244
826,"2022-W14","General_Ward",238
833,"2022-W15","General_Ward",223
840,"2022-W16","General_Ward",263
847,"2022-W17","General_Ward",211
854,"2022-W18","General_Ward",225
861,"2022-W19","General_Ward",220
868,"2022-W20","General_Ward",233
875,"2022-W21","General_Ward",251
882,"2022-W22","General_Ward",224
889,"2022-W23","General_Ward",237
896,"2022-W24","General_Ward",220
903,"2022-W25","General_Ward",188
910,"2022-W26","General_Ward",197
917,"2022-W27","General_Ward",218
924,"2022-W28","General_Ward",155
931,"2022-W29","General_Ward",188
938,"2022-W30","General_Ward",174
945,"2022-W31","General_Ward",191
952,"2022-W32","General_Ward",185
959,"2022-W33","General_Ward",173
966,"2022-W34","General_Ward",194
973,"2022-W35","General_Ward",132
980,"2022-W36","General_Ward",179
987,"2022-W37","General_Ward",129
994,"2022-W38","General_Ward",172
1001,"2022-W39","General_Ward",162
1008,"2022-W40","General_Ward",181
1015,"2022-W41","General_Ward",164
1022,"2022-W42","General_Ward",133
1029,"2022-W43","General_Ward",127
1036,"2022-W44","General_Ward",181
1043,"2022-W45","General_Ward",172
1050,"2022-W46","General_Ward",166
1057,"2022-W47","General_Ward",175
1064,"2022-W48","General_Ward",172
1071,"2022-W49","General_Ward",187
1078,"2022-W50","General_Ward",177
1085,"2022-W51","General_Ward",160
1092,"2022-W52","General_Ward",200
1099,"2023-W01","General_Ward",230
1106,"2023-W02","General_Ward",252
1113,"2023-W03","General_Ward",219
1120,"2023-W04","General_Ward",221
1127,"2023-W05","General_Ward",246
1134,"2023-W06","General_Ward",231
1141,"2023-W07","General_Ward",224
1148,"2023-W08","General_Ward",201
1155,"2023-W09","General_Ward",212
1162,"2023-W10","General_Ward",247
1169,"2023-W11","General_Ward",211
1176,"2023-W12","General_Ward",261
1183,"2023-W13","General_Ward",213
1190,"2023-W14","General_Ward",235
1197,"2023-W15","General_Ward",237
1204,"2023-W16","General_Ward",235
1211,"2023-W17","General_Ward",236
1218,"2023-W18","General_Ward",242
1225,"2023-W19","General_Ward",224
1232,"2023-W20","General_Ward",218
1239,"2023-W21","General_Ward",222
1246,"2023-W22","General_Ward",206
1253,"2023-W23","General_Ward",240
1260,"2023-W24","General_Ward",161
1267,"2023-W25","General_Ward",221
1274,"2023-W26","General_Ward",190
1281,"2023-W27","General_Ward",199
1288,"2023-W28","General_Ward",206
1295,"2023-W29","General_Ward",198
1302,"2023-W30","General_Ward",164
1309,"2023-W31","General_Ward",205
1316,"2023-W32","General_Ward",138
1323,"2023-W33","General_Ward",184
1330,"2023-W34","General_Ward",154
1337,"2023-W35","General_Ward",124
1344,"2023-W36","General_Ward",124
1351,"2023-W37","General_Ward",165
1358,"2023-W38","General_Ward",204
1365,"2023-W39","General_Ward",166
1372,"2023-W40","General_Ward",184
1379,"2023-W41","General_Ward",179
1386,"2023-W42","General_Ward",151
1393,"2023-W43","General_Ward",186
1400,"2023-W44","General_Ward",177
1407,"2023-W45","General_Ward",178
1414,"2023-W46","General_Ward",197
1421,"2023-W47","General_Ward",196
1428,"2023-W48","General_Ward",173
1435,"2023-W49","General_Ward",198
1442,"2023-W50","General_Ward",177
1449,"2023-W51","General_Ward",213
1456,"2023-W52","General_Ward",196
0,"2020-W01","Pediatrics",48
7,"2020-W02","Pediatrics",52
14,"2020-W03","Pediatrics",54
21,"2020-W04","Pediatrics",64
28,"2020-W05","Pediatrics",72
35,"2020-W06","Pediatrics",77
42,"2020-W07","Pediatrics",93
49,"2020-W08","Pediatrics",103
56,"2020-W09","Pediatrics",103
63,"2020-W10","Pediatrics",110
70,"2020-W11","Pediatrics",120
77,"2020-W12","Pediatrics",116
84,"2020-W13","Pediatrics",117
91,"2020-W14","Pediatrics",118
98,"2020-W15","Pediatrics",105
105,"2020-W16","Pediatrics",91
112,"2020-W17","Pediatrics",93
119,"2020-W18","Pediatrics",74
126,"2020-W19","Pediatrics",66
133,"2020-W20","Pediatrics",52
140,"2020-W21","Pediatrics",61
147,"2020-W22","Pediatrics",54
154,"2020-W23","Pediatrics",50
161,"2020-W24","Pediatrics",49
168,"2020-W25","Pediatrics",43
175,"2020-W26","Pediatrics",37
182,"2020-W27","Pediatrics",42
189,"2020-W28","Pediatrics",44
196,"2020-W29","Pediatrics",32
203,"2020-W30","Pediatrics",35
210,"2020-W31","Pediatrics",36
217,"2020-W32","Pediatrics",32
224,"2020-W33","Pediatrics",41
231,"2020-W34","Pediatrics",37
238,"2020-W35","Pediatrics",46
245,"2020-W36","Pediatrics",44
252,"2020-W37","Pediatrics",50
259,"2020-W38","Pediatrics",57
266,"2020-W39","Pediatrics",56
273,"2020-W40","Pediatrics",64
280,"2020-W41","Pediatrics",65
287,"2020-W42","Pediatrics",63
294,"2020-W43","Pediatrics",73
301,"2020-W44","Pediatrics",79
308,"2020-W45","Pediatrics",80
315,"2020-W46","Pediatrics",78
322,"2020-W47","Pediatrics",74
329,"2020-W48","Pediatrics",79
336,"2020-W49","Pediatrics",71
343,"2020-W50","Pediatrics",66
350,"2020-W51","Pediatrics",69
357,"2020-W52","Pediatrics",58
364,"2020-W53","Pediatrics",60
371,"2021-W01","Pediatrics",56
378,"2021-W02","Pediatrics",48
385,"2021-W03","Pediatrics",56
392,"2021-W04","Pediatrics",47
399,"2021-W05","Pediatrics",54
406,"2021-W06","Pediatrics",46
413,"2021-W07","Pediatrics",46
420,"2021-W08","Pediatrics",48
427,"2021-W09","Pediatrics",47
434,"2021-W10","Pediatrics",47
441,"2021-W11","Pediatrics",45
448,"2021-W12","Pediatrics",43
455,"2021-W13","Pediatrics",51
462,"2021-W14","Pediatrics",45
469,"2021-W15","Pediatrics",44
476,"2021-W16","Pediatrics",48
483,"2021-W17","Pediatrics",48
490,"2021-W18","Pediatrics",45
497,"2021-W19","Pediatrics",55
504,"2021-W20","Pediatrics",61
511,"2021-W21","Pediatrics",66
518,"2021-W22","Pediatrics",72
525,"2021-W23","Pediatrics",72
532,"2021-W24","Pediatrics",79
539,"2021-W25","Pediatrics",79
546,"2021-W26","Pediatrics",82
553,"2021-W27","Pediatrics",79
560,"2021-W28","Pediatrics",76
567,"2021-W29","Pediatrics",78
574,"2021-W30","Pediatrics",68
581,"2021-W31","Pediatrics",62
588,"2021-W32","Pediatrics",63
595,"2021-W33","Pediatrics",49
602,"2021-W34","Pediatrics",42
609,"2021-W35","Pediatrics",43
616,"2021-W36","Pediatrics",35
623,"2021-W37","Pediatrics",41
630,"2021-W38","Pediatrics",33
637,"2021-W39","Pediatrics",31
644,"2021-W40","Pediatrics",29
651,"2021-W41","Pediatrics",36
658,"2021-W42","Pediatrics",43
665,"2021-W43","Pediatrics",38
672,"2021-W44","Pediatrics",44
679,"2021-W45","Pediatrics",50
686,"2021-W46","Pediatrics",60
693,"2021-W47","Pediatrics",64
700,"2021-W48","Pediatrics",64
707,"2021-W49","Pediatrics",73
714,"2021-W50","Pediatrics",78
721,"2021-W51","Pediatrics",85
728,"2021-W52","Pediatrics",85
735,"2022-W01","Pediatrics",85
742,"2022-W02","Pediatrics",77
749,"2022-W03","Pediatrics",73
756,"2022-W04","Pediatrics",71
763,"2022-W05","Pediatrics",63
770,"2022-W06","Pediatrics",56
777,"2022-W07","Pediatrics",59
784,"2022-W08","Pediatrics",52
791,"2022-W09","Pediatrics",47
798,"2022-W10","Pediatrics",56
805,"2022-W11","Pediatrics",44
812,"2022-W12","Pediatrics",41
819,"2022-W13","Pediatrics",39
826,"2022-W14","Pediatrics",50
833,"2022-W15","Pediatrics",45
840,"2022-W16","Pediatrics",46
847,"2022-W17","Pediatrics",48
854,"2022-W18","Pediatrics",44
861,"2022-W19","Pediatrics",39
868,"2022-W20","Pediatrics",37
875,"2022-W21","Pediatrics",42
882,"2022-W22","Pediatrics",44
889,"2022-W23","Pediatrics",33
896,"2022-W24","Pediatrics",42
903,"2022-W25","Pediatrics",42
910,"2022-W26","Pediatrics",44
917,"2022-W27","Pediatrics",39
924,"2022-W28","Pediatrics",38
931,"2022-W29","Pediatrics",39
938,"2022-W30","Pediatrics",35
945,"2022-W31","Pediatrics",34
952,"2022-W32","Pediatrics",34
959,"2022-W33","Pediatrics",36
966,"2022-W34","Pediatrics",31
973,"2022-W35","Pediatrics",31
980,"2022-W36","Pediatrics",29
987,"2022-W37","Pediatrics",28
994,"2022-W38","Pediatrics",33
1001,"2022-W39","Pediatrics",38
1008,"2022-W40","Pediatrics",28
1015,"2022-W41","Pediatrics",32
1022,"2022-W42","Pediatrics",29
1029,"2022-W43","Pediatrics",37
1036,"2022-W44","Pediatrics",33
1043,"2022-W45","Pediatrics",35
1050,"2022-W46","Pediatrics",37
1057,"2022-W47","Pediatrics",32
1064,"2022-W48","Pediatrics",37
1071,"2022-W49","Pediatrics",37
1078,"2022-W50","Pediatrics",42
1085,"2022-W51","Pediatrics",35
1092,"2022-W52","Pediatrics",36
1099,"2023-W01","Pediatrics",45
1106,"2023-W02","Pediatrics",40
1113,"2023-W03","Pediatrics",41
1120,"2023-W04","Pediatrics",45
1127,"2023-W05","Pediatrics",44
1134,"2023-W06","Pediatrics",53
1141,"2023-W07","Pediatrics",48
1148,"2023-W08","Pediatrics",48
1155,"2023-W09","Pediatrics",51
1162,"2023-W10","Pediatrics",48
1169,"2023-W11","Pediatrics",48
1176,"2023-W12","Pediatrics",44
1183,"2023-W13","Pediatrics",39
1190,"2023-W14","Pediatrics",43
1197,"2023-W15","Pediatrics",48
1204,"2023-W16","Pediatrics",43
1211,"2023-W17","Pediatrics",49
1218,"2023-W18","Pediatrics",49
1225,"2023-W19","Pediatrics",46
1232,"2023-W20","Pediatrics",44
1239,"2023-W21","Pediatrics",38
1246,"2023-W22","Pediatrics",42
1253,"2023-W23","Pediatrics",40
1260,"2023-W24","Pediatrics",44
1267,"2023-W25","Pediatrics",45
1274,"2023-W26","Pediatrics",41
1281,"2023-W27","Pediatrics",34
1288,"2023-W28","Pediatrics",44
1295,"2023-W29","Pediatrics",40
1302,"2023-W30","Pediatrics",36
1309,"2023-W31","Pediatrics",26
1316,"2023-W32","Pediatrics",30
1323,"2023-W33","Pediatrics",33
1330,"2023-W34","Pediatrics",36
1337,"2023-W35","Pediatrics",28
1344,"2023-W36","Pediatrics",45
1351,"2023-W37","Pediatrics",22
1358,"2023-W38","Pediatrics",31
1365,"2023-W39","Pediatrics",31
1372,"2023-W40","Pediatrics",30
1379,"2023-W41","Pediatrics",31
1386,"2023-W42","Pediatrics",36
1393,"2023-W43","Pediatrics",30
1400,"2023-W44","Pediatrics",26
1407,"2023-W45","Pediatrics",35
1414,"2023-W46","Pediatrics",35
1421,"2023-W47","Pediatrics",36
