"SampleID","Scenario","Ki67_HALO","Ki67_Aiforia","Ki67_ImageJ","Ki67_Manual"
"MULTI-071","Multi-Method",63.3,63.9,68.4,66
"MULTI-072","Multi-Method",62.7,68.6,60.9,62.7
"MULTI-073","Multi-Method",59.6,63.3,67.9,64.1
"MULTI-074","Multi-Method",33,35.3,39.8,36.1
"MULTI-075","Multi-Method",59.1,60.2,59.8,58.2
"MULTI-076","Multi-Method",71.7,67.3,63.7,58.5
"MULTI-077","Multi-Method",66.6,66.2,67,74.1
"MULTI-078","Multi-Method",54.6,48.6,55.1,58.1
"MULTI-079","Multi-Method",50.1,51.4,51.9,46.7
"MULTI-080","Multi-Method",76.2,71.9,81,82.3
"MULTI-081","Multi-Method",32.7,35.6,38.1,38.9
"MULTI-082","Multi-Method",50,45,49.3,58.5
"MULTI-083","Multi-Method",58.3,57.2,57.4,57.7
"MULTI-084","Multi-Method",37.4,33.3,34.3,38.4
"MULTI-085","Multi-Method",61.3,61.3,60.7,59.9
"MULTI-086","Multi-Method",98.9,92.8,94.2,100
"MULTI-087","Multi-Method",81.6,78.5,83,79.1
"MULTI-088","Multi-Method",81.5,78.5,77.4,79.7
"MULTI-089","Multi-Method",86.3,83.5,84.4,76.9
"MULTI-090","Multi-Method",77.5,78.6,75.8,75.9
"MULTI-091","Multi-Method",87.5,92.8,95.1,89.1
"MULTI-092","Multi-Method",85.3,84.9,89.6,85.7
"MULTI-093","Multi-Method",79.7,79.8,81.9,81.8
"MULTI-094","Multi-Method",73,69.8,64.8,70.2
"MULTI-095","Multi-Method",70.5,73.7,73.1,74.5
"MULTI-096","Multi-Method",76.2,73.8,72.2,83.1
"MULTI-097","Multi-Method",84.3,86.7,83.8,84.3
"MULTI-098","Multi-Method",63.1,66.8,69,64.8
"MULTI-099","Multi-Method",63.4,62.8,64.1,74.1
"MULTI-100","Multi-Method",75.6,79.4,68.8,65.8
