"id","scenario","numeric_extreme","numeric_decimal","categorical_many","categorical_few","categorical_special","constant_numeric","constant_factor","text_variable","date_variable","binary_numeric"
"EDGE_087","5",0.000619,0.1662154,"Cat_11","B","Unknown",42,"SAME","Text with special characters: @#$%^&*()",2021-09-27,0
"EDGE_088","6",0.000407,0.77723788,"Cat_10","A","",42,"SAME",NA,2021-03-02,1
"EDGE_089","6",0.000543,0.2659925,"Cat_29","A","Unknown",42,"SAME",NA,2023-09-27,1
"EDGE_090","4",NA,0.81410037,"Cat_28","A","Unknown",42,"SAME","Short",2024-03-24,0
"EDGE_091","2",0.000874,0.85285365,NA,"A","Normal",42,"SAME","Medium length text",2024-07-31,1
"EDGE_092","6",0.000888,0.67298531,"Cat_19","B","N/A",42,"SAME",NA,2021-06-10,0
"EDGE_093","2",0.000965,0.37439147,"Cat_11","B","Missing",42,"SAME","This is a very long text string that might cause formatting issues in tables",2025-07-30,0
"EDGE_094","1",0.000578,0.72230992,"Cat_01","B","N/A",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-02-04,0
"EDGE_095","6",0.000313,0.22293519,"Cat_23","A","Missing",42,"SAME",NA,2023-02-22,1
"EDGE_096","1",NA,0.85887109,"Cat_20","A","N/A",42,"SAME","This is a very long text string that might cause formatting issues in tables",2025-08-22,1
"EDGE_097","1",0.000741,0.77231579,"Cat_24","A","",42,"SAME","Short",2024-04-24,1
"EDGE_098","2",0.000747,0.60369779,NA,"A","Unknown",42,"SAME","This is a very long text string that might cause formatting issues in tables",2020-09-29,1
"EDGE_099","1",0.000985,0.29355947,"Cat_12","A","N/A",42,"SAME","Text with special characters: @#$%^&*()",2020-11-19,0
"EDGE_100","4",0.000727,0.43702673,"Cat_25","A","Missing",42,"SAME","Short",2023-01-16,1
"EDGE_101","5",-0.088206,0.97257244,"Cat_06","B","",42,"SAME","Medium length text",2024-12-05,1
"EDGE_102","4",NA,0.02489711,"Cat_24","B","N/A",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-09-02,0
"EDGE_103","3",0.03395,0.23281533,"Cat_06","B","N/A",42,"SAME","Medium length text",2025-01-30,1
"EDGE_104","3",0.107111,0.72670729,"Cat_10","A","Missing",42,"SAME","This is a very long text string that might cause formatting issues in tables",2021-06-05,0
"EDGE_105","3",-0.069805,0.22221896,NA,"B","N/A",42,"SAME","Medium length text",2025-12-06,0
"EDGE_106","1",0.035884,0.26417032,"Cat_21","B","",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-10-23,0
"EDGE_107","1",-0.117416,0.13832811,"Cat_13","B","N/A",42,"SAME","Medium length text",2023-09-12,1
"EDGE_108","2",NA,0.58179213,"Cat_25","B","",42,"SAME","Short",2023-02-27,0
"EDGE_109","6",-0.008308,0.12871664,"Cat_10","B","Normal",42,"SAME",NA,2021-09-02,0
"EDGE_110","6",-0.153352,0.28647766,"Cat_13","B","Unknown",42,"SAME",NA,2020-03-08,1
"EDGE_111","1",0.141395,0.02334492,"Cat_22","B","Missing",42,"SAME","Text with special characters: @#$%^&*()",2024-04-09,0
"EDGE_112","3",-0.021827,0.08038699,NA,"A","Normal",42,"SAME","Short",2023-11-28,1
"EDGE_113","6",-0.015808,0.02727057,"Cat_06","B","Normal",42,"SAME",NA,2021-08-05,0
"EDGE_114","1",NA,0.00941061,"Cat_03","A","Normal",42,"SAME","Text with special characters: @#$%^&*()",2024-04-30,1
"EDGE_115","6",0.002609,0.71352791,"Cat_13","A","Unknown",42,"SAME",NA,2023-04-28,0
"EDGE_116","6",-0.01604,0.53158819,"Cat_23","A","",42,"SAME",NA,2023-03-31,1
"EDGE_117","3",-0.076133,0.81202143,"Cat_09","B","",42,"SAME","Text with special characters: @#$%^&*()",2025-10-26,1
"EDGE_118","6",-0.146285,0.88966985,"Cat_14","A","Normal",42,"SAME",NA,2021-12-19,0
"EDGE_119","2",0.083654,0.99018269,NA,"B","Normal",42,"SAME","Text with special characters: @#$%^&*()",2023-06-14,1
"EDGE_120","4",NA,0.49316898,"Cat_06","A","Missing",42,"SAME","Text with special characters: @#$%^&*()",2022-04-03,1
"EDGE_121","5",0.041958,0.76814701,"Cat_04","A","",42,"SAME","Short",2024-05-27,0
"EDGE_122","2",0.092742,0.83473518,"Cat_15","B","",42,"SAME","Short",2021-11-08,0
"EDGE_123","1",-0.15851,0.63944553,"Cat_16","B","",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-06-24,1
"EDGE_124","5",-0.070923,0.96754251,"Cat_26","B","",42,"SAME","This is a very long text string that might cause formatting issues in tables",2025-06-03,0
"EDGE_125","6",0.016206,0.02373354,"Cat_14","A","N/A",42,"SAME",NA,2021-11-05,0
"EDGE_126","5",NA,0.2132792,NA,"B","",42,"SAME","Medium length text",2022-01-11,0
"EDGE_127","4",NA,0.90279784,"Cat_17","B","Unknown",42,"SAME","Short",2024-04-11,0
"EDGE_128","5",NA,0.43511544,"Cat_12","B","Unknown",42,"SAME","Short",2024-02-09,1
"EDGE_129","5",NA,0.95973782,"Cat_14","B","Unknown",42,"SAME","Short",2020-05-02,0
"EDGE_130","6",NA,0.28192969,"Cat_15","B","Unknown",42,"SAME",NA,2020-08-14,0
"EDGE_131","3",NA,0.25407755,"Cat_12","B","N/A",42,"SAME","Short",2022-07-17,0
"EDGE_132","6",NA,0.4977683,"Cat_09","B","Normal",42,"SAME",NA,2023-09-02,1
"EDGE_133","3",NA,0.66251079,NA,"A","N/A",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-10-05,1
"EDGE_134","6",NA,0.207286,"Cat_11","A","Missing",42,"SAME",NA,2022-08-08,1
"EDGE_135","2",NA,0.10485067,"Cat_20","A","Missing",42,"SAME","Text with special characters: @#$%^&*()",2022-09-03,1
"EDGE_136","1",NA,0.16190093,"Cat_19","A","",42,"SAME","Medium length text",2025-11-26,0
"EDGE_137","5",NA,0.30756456,"Cat_07","B","",42,"SAME","Medium length text",2021-04-15,0
"EDGE_138","4",NA,0.36531889,"Cat_17","A","",42,"SAME","Short",2020-10-09,1
"EDGE_139","6",NA,0.40131859,"Cat_01","A","Unknown",42,"SAME",NA,2024-05-27,1
"EDGE_140","2",NA,0.86654271,NA,"A","Missing",42,"SAME","This is a very long text string that might cause formatting issues in tables",2021-04-14,0
"EDGE_141","3",NA,0.26201653,"Cat_09","B","Normal",42,"SAME","Text with special characters: @#$%^&*()",2020-01-31,0
"EDGE_142","3",NA,0.23564894,"Cat_18","B","Missing",42,"SAME","This is a very long text string that might cause formatting issues in tables",2022-03-01,0
"EDGE_143","3",NA,0.4104749,"Cat_11","B","Unknown",42,"SAME","Short",2020-08-15,0
"EDGE_144","5",NA,0.30383838,"Cat_21","A","Missing",42,"SAME","Text with special characters: @#$%^&*()",2022-05-21,1
"EDGE_145","5",NA,0.25621594,"Cat_14","A","Unknown",42,"SAME","This is a very long text string that might cause formatting issues in tables",2020-03-09,0
"EDGE_146","2",NA,0.33742261,"Cat_02","B","Normal",42,"SAME","Short",2022-03-09,1
"EDGE_147","2",NA,0.68985482,NA,"A","Normal",42,"SAME","This is a very long text string that might cause formatting issues in tables",2021-11-19,0
"EDGE_148","2",NA,0.09632345,"Cat_19","B","Unknown",42,"SAME","Short",2021-01-14,0
"EDGE_149","2",NA,0.10133701,"Cat_23","B","Missing",42,"SAME","Text with special characters: @#$%^&*()",2022-05-08,0
"EDGE_150","6",NA,0.22896236,"Cat_20","B","Missing",42,"SAME",NA,2020-09-06,0
