option,schema_type,default,ui,ui_group,enable,a_line,u_line,backend,b_line,purpose,results
multiple_comparisons,List,"""dunnett""",ComboBox,Advanced Options,(study_design:multi_arm),343,143,.adjust_alpha_for_multiplicity,3398,None or Bonferroni; Holm/Dunnett conservatively approximate Bonferroni with notice,Primary; multi_arm_table; notices
interim_analyses,Integer,0,TextBox,Advanced Options,True,360,154,.gs_info_design,3761,Number of equally spaced information looks plus final; efficacy only,Primary; interim_analysis_table; accrual_timeline_plot
alpha_spending,List,"""none""",ComboBox,Advanced Options,(!(interim_analyses:0)),369,157,.gs_info_design,3761,"None=fixed design with explanation, or LD OBrien-Fleming/Pocock spending",Primary; interim_analysis_table; notices
cluster_size,Number,50,TextBox,Advanced Options,(study_design:cluster_randomized),383,146,.cluster_allocation,308,Whole-cluster allocation and approximate design effect,Primary; notices; regulatory_table
icc,Number,0.05,TextBox,Advanced Options,(study_design:cluster_randomized),396,150,.adjust_sample_for_design,3423,Inflation 1+(cluster size-1)*ICC; no small-cluster df correction,Primary; notices
sensitivity_analysis,Bool,false,CheckBox,Advanced Options,(analysis_type:sample_size || analysis_type:power),406,160,.sensitivity_applicable,350,Numerical grids for sample-size and power modes only,sensitivity_analysis_table; sensitivity_plot; assumptions_table
run_simulation_validation,Bool,false,CheckBox,Advanced Options,(analysis_type:sample_size || analysis_type:power),413,164,.run_simulation_analysis,3889,Optional fixed two-arm exponential log-rank/Cox Monte Carlo validation,simulation_validation_table; assumptions_table; notices
simulation_runs,Integer,2000,TextBox,Advanced Options,(run_simulation_validation),425,168,.run_simulation_analysis,3889,"Configured number of trials, MC error and exact binomial interval",simulation_validation_table; notices
simulation_seed,Integer,42,TextBox,Advanced Options,(run_simulation_validation),436,172,.run_simulation_analysis,3889,Local reproducible seed; restores caller RNG,simulation_validation_table
show_interpretation,Bool,false,CheckBox,Clinical-Friendly Output Options,True,447,184,.generate_interpretation,2208,Optional complete study description and copy-ready report,clinical_interpretation
show_summary,Bool,false,CheckBox,Clinical-Friendly Output Options,True,456,187,.generate_clinical_friendly_outputs,4197,Optional plain-language explanation using resolved numbers,natural_language_summary
show_explanations,Bool,false,CheckBox,Clinical-Friendly Output Options,True,463,190,.generate_clinical_friendly_outputs,4197,Optional educational notes,educational_explanations
show_glossary,Bool,false,CheckBox,Clinical-Friendly Output Options,True,470,193,.generate_clinical_friendly_outputs,4197,Optional statistical glossary,statistical_glossary
guided_mode,Bool,false,CheckBox,Clinical-Friendly Output Options,True,477,196,.generate_clinical_friendly_outputs,4197,Optional guided workflow; no numerical effect,guided_workflow
