"SampleID","Scenario","Ki67_HALO","Ki67_Aiforia","Ki67_Manual","Ki67_ProtocolA","Ki67_ProtocolB","Ki67_PlatformA","Ki67_PlatformB"
"EXCELLENT-047","Excellent Agreement",23.6,27.4,NA,NA,NA,NA,NA
"EXCELLENT-048","Excellent Agreement",29.1,28.9,NA,NA,NA,NA,NA
"EXCELLENT-049","Excellent Agreement",31.9,33.8,NA,NA,NA,NA,NA
"EXCELLENT-050","Excellent Agreement",57.1,56.6,NA,NA,NA,NA,NA
"EXCELLENT-051","Excellent Agreement",27.2,26.5,NA,NA,NA,NA,NA
"EXCELLENT-052","Excellent Agreement",37.8,36.3,NA,NA,NA,NA,NA
"EXCELLENT-053","Excellent Agreement",35.9,34.9,NA,NA,NA,NA,NA
"EXCELLENT-054","Excellent Agreement",23.5,28.1,NA,NA,NA,NA,NA
"EXCELLENT-055","Excellent Agreement",34.1,34.5,NA,NA,NA,NA,NA
"EXCELLENT-056","Excellent Agreement",52.3,53.1,NA,NA,NA,NA,NA
"EXCELLENT-057","Excellent Agreement",71.8,72.9,NA,NA,NA,NA,NA
"EXCELLENT-058","Excellent Agreement",65.6,69.2,NA,NA,NA,NA,NA
"EXCELLENT-059","Excellent Agreement",58.7,57.9,NA,NA,NA,NA,NA
"EXCELLENT-060","Excellent Agreement",34.2,32.2,NA,NA,NA,NA,NA
"EXCELLENT-061","Excellent Agreement",82,86.7,NA,NA,NA,NA,NA
"EXCELLENT-062","Excellent Agreement",43.1,42.5,NA,NA,NA,NA,NA
"EXCELLENT-063","Excellent Agreement",76.1,74.8,NA,NA,NA,NA,NA
"EXCELLENT-064","Excellent Agreement",93.6,91,NA,NA,NA,NA,NA
"EXCELLENT-065","Excellent Agreement",43.3,40.6,NA,NA,NA,NA,NA
"EXCELLENT-066","Excellent Agreement",75.5,74.6,NA,NA,NA,NA,NA
"EXCELLENT-067","Excellent Agreement",61.1,63.1,NA,NA,NA,NA,NA
"EXCELLENT-068","Excellent Agreement",41.4,44.7,NA,NA,NA,NA,NA
"EXCELLENT-069","Excellent Agreement",42.3,44.6,NA,NA,NA,NA,NA
"EXCELLENT-070","Excellent Agreement",41,40.6,NA,NA,NA,NA,NA
"EXCELLENT-071","Excellent Agreement",57,57.6,NA,NA,NA,NA,NA
"EXCELLENT-072","Excellent Agreement",43.1,41.8,NA,NA,NA,NA,NA
"EXCELLENT-073","Excellent Agreement",75.3,74,NA,NA,NA,NA,NA
"EXCELLENT-074","Excellent Agreement",96.5,99.2,NA,NA,NA,NA,NA
"EXCELLENT-075","Excellent Agreement",45.7,43.7,NA,NA,NA,NA,NA
"EXCELLENT-076","Excellent Agreement",76.8,82.2,NA,NA,NA,NA,NA
"EXCELLENT-077","Excellent Agreement",76.5,76.8,NA,NA,NA,NA,NA
"EXCELLENT-078","Excellent Agreement",70,71,NA,NA,NA,NA,NA
"EXCELLENT-079","Excellent Agreement",49.9,48.6,NA,NA,NA,NA,NA
"EXCELLENT-080","Excellent Agreement",63.2,62.3,NA,NA,NA,NA,NA
"GOOD-001","Good Agreement",4.5,NA,5.8,NA,NA,NA,NA
"GOOD-002","Good Agreement",13.5,NA,23.9,NA,NA,NA,NA
"GOOD-003","Good Agreement",18.4,NA,12.6,NA,NA,NA,NA
"GOOD-004","Good Agreement",17.6,NA,18.7,NA,NA,NA,NA
"GOOD-005","Good Agreement",8.7,NA,16,NA,NA,NA,NA
"GOOD-006","Good Agreement",8.7,NA,6.1,NA,NA,NA,NA
"GOOD-007","Good Agreement",11,NA,8.2,NA,NA,NA,NA
"GOOD-008","Good Agreement",27,NA,23.3,NA,NA,NA,NA
"GOOD-009","Good Agreement",5.9,NA,1.6,NA,NA,NA,NA
"GOOD-010","Good Agreement",13.6,NA,12.4,NA,NA,NA,NA
"GOOD-011","Good Agreement",30.2,NA,32.9,NA,NA,NA,NA
"GOOD-012","Good Agreement",14.2,NA,5.1,NA,NA,NA,NA
"GOOD-013","Good Agreement",4.1,NA,6.2,NA,NA,NA,NA
"GOOD-014","Good Agreement",9.7,NA,16.9,NA,NA,NA,NA
"GOOD-015","Good Agreement",18.9,NA,30.1,NA,NA,NA,NA
"GOOD-016","Good Agreement",12,NA,19.5,NA,NA,NA,NA
"GOOD-017","Good Agreement",10.5,NA,15.3,NA,NA,NA,NA
"GOOD-018","Good Agreement",12.2,NA,4.6,NA,NA,NA,NA
"GOOD-019","Good Agreement",15.7,NA,13.7,NA,NA,NA,NA
"GOOD-020","Good Agreement",27.8,NA,27,NA,NA,NA,NA
"GOOD-021","Good Agreement",14.3,NA,18.8,NA,NA,NA,NA
"GOOD-022","Good Agreement",23.6,NA,24.1,NA,NA,NA,NA
"GOOD-023","Good Agreement",20,NA,14.8,NA,NA,NA,NA
"GOOD-024","Good Agreement",14.1,NA,23.5,NA,NA,NA,NA
"GOOD-025","Good Agreement",21.6,NA,27.2,NA,NA,NA,NA
"GOOD-026","Good Agreement",33.7,NA,35.9,NA,NA,NA,NA
"GOOD-027","Good Agreement",34.1,NA,41.2,NA,NA,NA,NA
"GOOD-028","Good Agreement",40.6,NA,34.9,NA,NA,NA,NA
"GOOD-029","Good Agreement",55.6,NA,59.9,NA,NA,NA,NA
"GOOD-030","Good Agreement",67.5,NA,65.9,NA,NA,NA,NA
"GOOD-031","Good Agreement",58.6,NA,63,NA,NA,NA,NA
"GOOD-032","Good Agreement",38.4,NA,39.1,NA,NA,NA,NA
"GOOD-033","Good Agreement",18.9,NA,23.1,NA,NA,NA,NA
"GOOD-034","Good Agreement",35.3,NA,43,NA,NA,NA,NA
"GOOD-035","Good Agreement",41.1,NA,42.1,NA,NA,NA,NA
"GOOD-036","Good Agreement",50.1,NA,56.2,NA,NA,NA,NA
"GOOD-037","Good Agreement",51.6,NA,46.6,NA,NA,NA,NA
"GOOD-038","Good Agreement",48.2,NA,45.6,NA,NA,NA,NA
"GOOD-039","Good Agreement",23.3,NA,31.9,NA,NA,NA,NA
"GOOD-040","Good Agreement",50.2,NA,53.1,NA,NA,NA,NA
"GOOD-041","Good Agreement",34.6,NA,25.4,NA,NA,NA,NA
"GOOD-042","Good Agreement",42.1,NA,36.3,NA,NA,NA,NA
"GOOD-043","Good Agreement",71.1,NA,71.1,NA,NA,NA,NA
"GOOD-044","Good Agreement",76.4,NA,81.8,NA,NA,NA,NA
"GOOD-045","Good Agreement",70.4,NA,70.9,NA,NA,NA,NA
"GOOD-046","Good Agreement",45,NA,49.1,NA,NA,NA,NA
"GOOD-047","Good Agreement",81,NA,86.8,NA,NA,NA,NA
"GOOD-048","Good Agreement",75.8,NA,85.1,NA,NA,NA,NA
"GOOD-049","Good Agreement",66,NA,67.3,NA,NA,NA,NA
"GOOD-050","Good Agreement",71.8,NA,72.5,NA,NA,NA,NA
"GOOD-051","Good Agreement",72,NA,64.2,NA,NA,NA,NA
"GOOD-052","Good Agreement",73.3,NA,74.8,NA,NA,NA,NA
"GOOD-053","Good Agreement",94.6,NA,92.8,NA,NA,NA,NA
"GOOD-054","Good Agreement",66.7,NA,62.8,NA,NA,NA,NA
"GOOD-055","Good Agreement",72.5,NA,72.6,NA,NA,NA,NA
"GOOD-056","Good Agreement",87.5,NA,93.6,NA,NA,NA,NA
"GOOD-057","Good Agreement",85.8,NA,76.8,NA,NA,NA,NA
"GOOD-058","Good Agreement",87.2,NA,86,NA,NA,NA,NA
"GOOD-059","Good Agreement",61.3,NA,62.9,NA,NA,NA,NA
"GOOD-060","Good Agreement",100,NA,96.6,NA,NA,NA,NA
"MODERATE-001","Moderate Agreement",NA,NA,NA,58.6,53.1,NA,NA
"MODERATE-002","Moderate Agreement",NA,NA,NA,49.3,46.4,NA,NA
"MODERATE-003","Moderate Agreement",NA,NA,NA,61.1,56.3,NA,NA
"MODERATE-004","Moderate Agreement",NA,NA,NA,67,51.5,NA,NA
"MODERATE-005","Moderate Agreement",NA,NA,NA,46.4,46.2,NA,NA
"MODERATE-006","Moderate Agreement",NA,NA,NA,37.7,46.1,NA,NA
"MODERATE-007","Moderate Agreement",NA,NA,NA,5.6,11.4,NA,NA
"MODERATE-008","Moderate Agreement",NA,NA,NA,5.3,0,NA,NA
"MODERATE-009","Moderate Agreement",NA,NA,NA,89.6,75.6,NA,NA
"MODERATE-010","Moderate Agreement",NA,NA,NA,14.2,17.8,NA,NA
"MODERATE-011","Moderate Agreement",NA,NA,NA,40.6,32.3,NA,NA
"MODERATE-012","Moderate Agreement",NA,NA,NA,66,41.9,NA,NA
"MODERATE-013","Moderate Agreement",NA,NA,NA,68.1,68,NA,NA
"MODERATE-014","Moderate Agreement",NA,NA,NA,79.1,63.6,NA,NA
"MODERATE-015","Moderate Agreement",NA,NA,NA,56.7,46.6,NA,NA
"MODERATE-016","Moderate Agreement",NA,NA,NA,69.3,73.9,NA,NA
"MODERATE-017","Moderate Agreement",NA,NA,NA,77,62.3,NA,NA
"MODERATE-018","Moderate Agreement",NA,NA,NA,57.1,58.3,NA,NA
"MODERATE-019","Moderate Agreement",NA,NA,NA,72.4,54.5,NA,NA
"MODERATE-020","Moderate Agreement",NA,NA,NA,6.9,6.1,NA,NA
"MODERATE-021","Moderate Agreement",NA,NA,NA,40.4,36.8,NA,NA
"MODERATE-022","Moderate Agreement",NA,NA,NA,79.4,61.1,NA,NA
"MODERATE-023","Moderate Agreement",NA,NA,NA,60,48.9,NA,NA
"MODERATE-024","Moderate Agreement",NA,NA,NA,83.6,73.8,NA,NA
"MODERATE-025","Moderate Agreement",NA,NA,NA,19.6,25.1,NA,NA
"MODERATE-026","Moderate Agreement",NA,NA,NA,31.8,16.9,NA,NA
"MODERATE-027","Moderate Agreement",NA,NA,NA,73.4,62.6,NA,NA
"MODERATE-028","Moderate Agreement",NA,NA,NA,89.1,84.8,NA,NA
"MODERATE-029","Moderate Agreement",NA,NA,NA,32.4,26.2,NA,NA
"MODERATE-030","Moderate Agreement",NA,NA,NA,5.1,9.2,NA,NA
"MODERATE-031","Moderate Agreement",NA,NA,NA,89.3,82.9,NA,NA
"MODERATE-032","Moderate Agreement",NA,NA,NA,17.6,20.1,NA,NA
"MODERATE-033","Moderate Agreement",NA,NA,NA,9.2,16,NA,NA
"MODERATE-034","Moderate Agreement",NA,NA,NA,55.8,49.4,NA,NA
"MODERATE-035","Moderate Agreement",NA,NA,NA,32.3,27.2,NA,NA
"MODERATE-036","Moderate Agreement",NA,NA,NA,49.9,24.2,NA,NA
"MODERATE-037","Moderate Agreement",NA,NA,NA,72.6,64,NA,NA
"MODERATE-038","Moderate Agreement",NA,NA,NA,10.9,15.7,NA,NA
"MODERATE-039","Moderate Agreement",NA,NA,NA,64.1,61.7,NA,NA
"MODERATE-040","Moderate Agreement",NA,NA,NA,85.6,71.3,NA,NA
"MODERATE-041","Moderate Agreement",NA,NA,NA,28.6,41.6,NA,NA
"MODERATE-042","Moderate Agreement",NA,NA,NA,26.2,27.6,NA,NA
"MODERATE-043","Moderate Agreement",NA,NA,NA,18.6,19.8,NA,NA
"MODERATE-044","Moderate Agreement",NA,NA,NA,11.1,22.6,NA,NA
"MODERATE-045","Moderate Agreement",NA,NA,NA,52.4,41.8,NA,NA
"MODERATE-046","Moderate Agreement",NA,NA,NA,46.6,39,NA,NA
"MODERATE-047","Moderate Agreement",NA,NA,NA,47,62.1,NA,NA
"MODERATE-048","Moderate Agreement",NA,NA,NA,80.5,71.5,NA,NA
"MODERATE-049","Moderate Agreement",NA,NA,NA,8.1,23,NA,NA
"MODERATE-050","Moderate Agreement",NA,NA,NA,22.3,10.5,NA,NA
"SYSTEMATIC-001","Systematic Bias",NA,NA,NA,NA,NA,23.9,33.1
"SYSTEMATIC-002","Systematic Bias",NA,NA,NA,NA,NA,10.3,17.3
"SYSTEMATIC-003","Systematic Bias",NA,NA,NA,NA,NA,4.1,9.2
"SYSTEMATIC-004","Systematic Bias",NA,NA,NA,NA,NA,10.6,18.8
"SYSTEMATIC-005","Systematic Bias",NA,NA,NA,NA,NA,10.7,22.6
"SYSTEMATIC-006","Systematic Bias",NA,NA,NA,NA,NA,12.9,22.5
"SYSTEMATIC-007","Systematic Bias",NA,NA,NA,NA,NA,22.3,32.6
"SYSTEMATIC-008","Systematic Bias",NA,NA,NA,NA,NA,10,18.8
"SYSTEMATIC-009","Systematic Bias",NA,NA,NA,NA,NA,14.2,21
"SYSTEMATIC-010","Systematic Bias",NA,NA,NA,NA,NA,10.6,18.2
"SYSTEMATIC-011","Systematic Bias",NA,NA,NA,NA,NA,12.1,19.6
"SYSTEMATIC-012","Systematic Bias",NA,NA,NA,NA,NA,13.9,20.9
"SYSTEMATIC-013","Systematic Bias",NA,NA,NA,NA,NA,20,29.4
"SYSTEMATIC-014","Systematic Bias",NA,NA,NA,NA,NA,12.7,18.3
"SYSTEMATIC-015","Systematic Bias",NA,NA,NA,NA,NA,16.3,26
"SYSTEMATIC-016","Systematic Bias",NA,NA,NA,NA,NA,16.7,26.4
"SYSTEMATIC-017","Systematic Bias",NA,NA,NA,NA,NA,17.5,23.1
"SYSTEMATIC-018","Systematic Bias",NA,NA,NA,NA,NA,8.6,17.8
"SYSTEMATIC-019","Systematic Bias",NA,NA,NA,NA,NA,51.3,64.1
"SYSTEMATIC-020","Systematic Bias",NA,NA,NA,NA,NA,31.2,38.1
"SYSTEMATIC-021","Systematic Bias",NA,NA,NA,NA,NA,33.9,43.6
"SYSTEMATIC-022","Systematic Bias",NA,NA,NA,NA,NA,49,55.5
"SYSTEMATIC-023","Systematic Bias",NA,NA,NA,NA,NA,47.9,58.2
"SYSTEMATIC-024","Systematic Bias",NA,NA,NA,NA,NA,24.1,32.6
"SYSTEMATIC-025","Systematic Bias",NA,NA,NA,NA,NA,26.3,37.6
"SYSTEMATIC-026","Systematic Bias",NA,NA,NA,NA,NA,21.4,26.5
"SYSTEMATIC-027","Systematic Bias",NA,NA,NA,NA,NA,36.8,44.7
"SYSTEMATIC-028","Systematic Bias",NA,NA,NA,NA,NA,36.6,43.6
"SYSTEMATIC-029","Systematic Bias",NA,NA,NA,NA,NA,38.6,46.2
"SYSTEMATIC-030","Systematic Bias",NA,NA,NA,NA,NA,40.5,47.3
"SYSTEMATIC-031","Systematic Bias",NA,NA,NA,NA,NA,29,35.3
"SYSTEMATIC-032","Systematic Bias",NA,NA,NA,NA,NA,25.1,34.2
"SYSTEMATIC-033","Systematic Bias",NA,NA,NA,NA,NA,45.3,51.1
"SYSTEMATIC-034","Systematic Bias",NA,NA,NA,NA,NA,42.5,53.5
"SYSTEMATIC-035","Systematic Bias",NA,NA,NA,NA,NA,19.9,25.5
"SYSTEMATIC-036","Systematic Bias",NA,NA,NA,NA,NA,34,42.3
"SYSTEMATIC-037","Systematic Bias",NA,NA,NA,NA,NA,26,35.1
"SYSTEMATIC-038","Systematic Bias",NA,NA,NA,NA,NA,14.3,23.5
"SYSTEMATIC-039","Systematic Bias",NA,NA,NA,NA,NA,36.5,43.9
"SYSTEMATIC-040","Systematic Bias",NA,NA,NA,NA,NA,34.2,42.4
"SYSTEMATIC-041","Systematic Bias",NA,NA,NA,NA,NA,34,43.9
"SYSTEMATIC-042","Systematic Bias",NA,NA,NA,NA,NA,37.2,42.2
"SYSTEMATIC-043","Systematic Bias",NA,NA,NA,NA,NA,75.6,82
"SYSTEMATIC-044","Systematic Bias",NA,NA,NA,NA,NA,67.5,76.1
"SYSTEMATIC-045","Systematic Bias",NA,NA,NA,NA,NA,57.6,64.7
"SYSTEMATIC-046","Systematic Bias",NA,NA,NA,NA,NA,56.2,66.9
"SYSTEMATIC-047","Systematic Bias",NA,NA,NA,NA,NA,63.4,72.8
"SYSTEMATIC-048","Systematic Bias",NA,NA,NA,NA,NA,68.7,76.9
"SYSTEMATIC-049","Systematic Bias",NA,NA,NA,NA,NA,52.5,57.5
"SYSTEMATIC-050","Systematic Bias",NA,NA,NA,NA,NA,62.8,70.8
"SYSTEMATIC-051","Systematic Bias",NA,NA,NA,NA,NA,76.6,84
"SYSTEMATIC-052","Systematic Bias",NA,NA,NA,NA,NA,63.7,71.5
"SYSTEMATIC-053","Systematic Bias",NA,NA,NA,NA,NA,56.6,62.3
"SYSTEMATIC-054","Systematic Bias",NA,NA,NA,NA,NA,61.7,70.7
"SYSTEMATIC-055","Systematic Bias",NA,NA,NA,NA,NA,78.4,84.3
"SYSTEMATIC-056","Systematic Bias",NA,NA,NA,NA,NA,71.6,79.1
"SYSTEMATIC-057","Systematic Bias",NA,NA,NA,NA,NA,79.8,88.6
"SYSTEMATIC-058","Systematic Bias",NA,NA,NA,NA,NA,66.7,73.1
"SYSTEMATIC-059","Systematic Bias",NA,NA,NA,NA,NA,69.9,79.1
"SYSTEMATIC-060","Systematic Bias",NA,NA,NA,NA,NA,58.3,63.7
