"id","event","predictor1","predictor2","predictor3","predictor4","predictor5"
75,"No","A","High",31.199360563033,0,49
76,"Yes","B","Medium",74.8802862251899,0,59
77,"No","B","Medium",54.5173760229755,1,33
78,"Yes","B","High",50.4573148300394,1,54
79,"No","A","High",45.0337966103742,1,78
80,"Yes","A","Medium",40.3037909404294,0,28
81,"No","B","Low",67.0972681411361,0,64
82,"Yes","A","Low",52.3759881533403,1,59
83,"Yes","B","Low",32.6302295747295,1,73
84,"No","B","Low",62.892124346895,1,60
85,"Yes","B","Medium",61.6916335906521,1,40
86,"Yes","A","Medium",47.2719137248539,1,43
87,"No","B","High",39.2910359799832,0,23
88,"No","B","Medium",35.5055014770943,0,63
89,"Yes","A","Low",57.0699486369467,0,37
90,"Yes","A","Medium",53.0800668660688,1,74
91,"No","B","Low",34.7167538582054,1,71
92,"No","A","Medium",51.7728307757041,1,58
93,"No","B","Low",57.5013728280401,1,65
94,"No","A","High",52.2602430192191,0,67
95,"Yes","A","Medium",71.2887906864199,0,79
96,"No","B","High",78.3318899253791,1,74
97,"No","B","High",61.9880952696605,0,27
98,"No","A","Medium",22.1373948592563,0,77
99,"No","A","Medium",67.3620752142567,0,43
100,"Yes","A","Medium",38.0817045742431,0,39
101,"No","A","Low",25.3795089329649,0,55
102,"Yes","B","Low",55.1610274669932,0,41
103,"No","A","High",53.0705370558278,1,61
104,"Yes","B","Low",49.7525752518635,1,42
105,"No","A","Low",41.1887673770659,1,45
106,"Yes","B","Medium",60.8364206612411,1,72
107,"No","A","Low",55.0048737709407,0,75
108,"No","B","High",34.4851697020698,0,63
109,"Yes","B","Low",29.5671513758898,0,68
110,"No","A","Low",28.4635938040482,1,70
111,"Yes","A","High",48.8224474147903,1,65
112,"No","A","High",59.2127215795922,0,57
113,"Yes","A","Low",66.9895382606865,0,44
114,"No","B","Medium",66.9280315279485,1,43
115,"No","B","Medium",52.9451723488606,1,73
116,"No","A","Medium",47.7468709000741,1,24
117,"Yes","B","Medium",57.5071922162653,1,59
118,"No","B","Low",53.3876705462795,1,23
119,"No","A","Medium",48.5986796472517,1,36
120,"Yes","B","Low",54.1828077112111,1,79
121,"No","A","Low",43.0869968082606,0,50
122,"Yes","B","Low",96.3597185986369,1,50
123,"Yes","B","Low",10.6586119802701,1,50
124,"Yes","B","Low",72.5465074852201,0,63
125,"Yes","A","High",87.8621439716835,0,23
126,"No","A","Low",50.3532491582821,1,65
127,"Yes","A","High",64.7354977761541,0,49
128,"No","A","Medium",44.3699596401133,1,76
129,"No","B","High",67.1998987851496,0,48
130,"Yes","B","Low",65.7611353890498,1,64
131,"No","B","Medium",34.3651980123156,1,63
132,"Yes","B","Medium",30.1241391985067,0,51
133,"No","B","Medium",56.8075725112728,0,44
134,"No","B","Low",33.9954787721474,1,66
135,"Yes","A","Low",70.9990724044339,1,29
136,"No","A","High",57.911371080374,1,58
137,"No","B","High",58.6217138438147,1,48
138,"No","A","Low",54.8166471701362,1,36
139,"Yes","B","Low",56.0301239056267,1,31
140,"Yes","B","Low",68.5421841869138,1,70
141,"No","A","Low",51.5384854104497,0,30
142,"No","A","Low",56.5259581770979,0,54
143,"Yes","B","Medium",52.244274767574,0,55
144,"Yes","A","Low",64.7742957274505,0,49
145,"Yes","A","Medium",41.981628736138,1,28
146,"Yes","B","Medium",28.325381853708,0,31
147,"No","B","High",46.2443866110271,1,53
148,"Yes","A","Low",20.5921926580403,0,72
149,"No","A","High",34.3258056314335,1,56
150,"No","A","Low",49.7881267799725,1,41
151,"No","A","Medium",34.4455666461688,0,78
152,"No","B","High",62.0278669700451,1,48
153,"Yes","B","Low",49.222272654075,1,51
154,"No","A","High",35.4881613921399,0,49
155,"No","B","Low",63.3739126554501,1,69
156,"No","B","Medium",44.3479698668247,1,49
157,"No","A","Low",59.069845501521,1,73
158,"No","B","Low",51.9075702730932,1,63
159,"Yes","A","High",48.2327501717086,1,63
160,"Yes","B","Medium",34.849145652024,1,69
161,"Yes","B","Low",10.4084071299415,0,45
162,"No","A","High",20.2512504137131,1,62
163,"Yes","B","High",26.9288548597947,1,44
164,"No","B","Medium",38.7211932195656,1,24
165,"No","A","Medium",67.0181351154594,1,57
166,"Yes","A","Medium",40.8476235033853,0,20
167,"Yes","B","Low",21.6475276526616,0,61
168,"Yes","A","Medium",35.9246284441799,1,41
169,"No","B","Medium",55.4301272735873,1,55
170,"No","A","Low",54.4681823971882,0,46
171,"No","A","High",35.8462396722042,1,24
172,"No","B","Medium",41.5483132942876,1,46
173,"Yes","B","Low",51.6722941360447,0,69
174,"No","B","Medium",41.4828114949181,1,25
175,"No","A","High",50.9874268603886,1,37
176,"No","B","High",63.3144743859109,0,35
177,"Yes","B","High",54.6313731571434,1,50
178,"No","A","Medium",56.737755059936,0,22
179,"No","A","Medium",60.5225424977138,0,27
180,"No","B","High",35.2565420115352,1,80
