"dog_id","sample_number","time_point","age","breed","sample_method","pathologist_experience","fibrosis_score","diagnosis","cell_count"
"Dog_013",2,2,4,"Poodle","Core Biopsy",15,1.7,"Positive",4
"Dog_014",1,1,4.1,"Poodle","Core Biopsy",10,0.5,"Negative",1
"Dog_014",2,2,4.1,"Poodle","Surgical",5,0.5,"Negative",5
"Dog_015",1,1,6.3,"Labrador","Core Biopsy",10,1.6,"Negative",4
"Dog_015",2,2,6.3,"Labrador","Core Biopsy",10,2.8,"Negative",2
"Dog_016",1,1,7.7,"German Shepherd","Core Biopsy",5,2.8,"Positive",4
"Dog_016",2,2,7.7,"German Shepherd","Surgical",5,3.1,"Positive",9
"Dog_017",1,1,5.8,"Poodle","Core Biopsy",15,1.2,"Negative",2
"Dog_017",2,2,5.8,"Poodle","Core Biopsy",15,2.4,"Negative",4
"Dog_018",1,1,2.2,"Mixed","Fine Needle",20,0,"Negative",0
"Dog_018",2,2,2.2,"Mixed","Core Biopsy",15,0.2,"Positive",6
"Dog_019",1,1,5.5,"German Shepherd","Core Biopsy",10,2.2,"Positive",4
"Dog_019",2,2,5.5,"German Shepherd","Surgical",15,1.3,"Negative",2
"Dog_020",1,1,4.8,"Poodle","Surgical",10,1.4,"Negative",3
"Dog_020",2,2,4.8,"Poodle","Fine Needle",15,1.3,"Positive",3
"Dog_021",1,1,5.5,"Mixed","Core Biopsy",5,0.4,"Positive",3
"Dog_021",2,2,5.5,"Mixed","Core Biopsy",20,1.4,"Negative",5
"Dog_022",1,1,9.3,"German Shepherd","Fine Needle",15,2.6,"Negative",10
"Dog_022",2,2,9.3,"German Shepherd","Core Biopsy",15,2.8,"Negative",3
"Dog_023",1,1,7.1,"Labrador","Core Biopsy",15,1.4,"Negative",4
"Dog_023",2,2,7.1,"Labrador","Surgical",10,1.4,"Negative",6
"Dog_024",1,1,6.1,"Labrador","Fine Needle",10,3.3,"Positive",7
"Dog_024",2,2,6.1,"Labrador","Surgical",10,2.6,"Negative",4
"Dog_025",1,1,3.2,"Labrador","Core Biopsy",10,1.5,"Positive",4
"Dog_025",2,2,3.2,"Labrador","Core Biopsy",5,0.4,"Negative",3
"Dog_026",1,1,3.1,"German Shepherd","Core Biopsy",10,1.4,"Positive",1
"Dog_026",2,2,3.1,"German Shepherd","Core Biopsy",15,1.3,"Negative",7
"Dog_027",1,1,5.3,"German Shepherd","Core Biopsy",15,1.9,"Negative",6
"Dog_027",2,2,5.3,"German Shepherd","Core Biopsy",10,1.7,"Positive",7
"Dog_028",1,1,8,"Labrador","Core Biopsy",10,2.7,"Positive",9
"Dog_028",2,2,8,"Labrador","Surgical",5,3.2,"Positive",7
"Dog_029",1,1,6.5,"Labrador","Core Biopsy",5,2.8,"Positive",9
"Dog_029",2,2,6.5,"Labrador","Core Biopsy",5,2.4,"Negative",8
"Dog_030",1,1,5.6,"Labrador","Core Biopsy",10,1.9,"Negative",7
"Dog_030",2,2,5.6,"Labrador","Fine Needle",10,1.8,"Positive",3
"Dog_031",1,1,3.9,"Labrador","Core Biopsy",15,0.4,"Negative",5
"Dog_031",2,2,3.9,"Labrador","Core Biopsy",20,1.4,"Negative",1
"Dog_031",3,3,3.9,"Labrador","Core Biopsy",5,1.4,"Negative",6
"Dog_032",1,1,6.8,"Labrador","Fine Needle",5,0,"Negative",1
"Dog_032",2,2,6.8,"Labrador","Fine Needle",10,0.1,"Negative",2
"Dog_032",3,3,6.8,"Labrador","Fine Needle",10,0.7,"Negative",1
"Dog_033",1,1,8.8,"Poodle","Core Biopsy",10,3,"Positive",8
"Dog_033",2,2,8.8,"Poodle","Fine Needle",20,3.1,"Positive",14
"Dog_033",3,3,8.8,"Poodle","Fine Needle",10,1.7,"Negative",5
"Dog_034",1,1,6.4,"Poodle","Surgical",5,2,"Positive",6
"Dog_034",2,2,6.4,"Poodle","Core Biopsy",5,2.1,"Positive",5
"Dog_034",3,3,6.4,"Poodle","Core Biopsy",15,2.4,"Negative",4
"Dog_035",1,1,7.5,"German Shepherd","Fine Needle",15,1.7,"Negative",5
"Dog_035",2,2,7.5,"German Shepherd","Surgical",10,2,"Positive",5
"Dog_035",3,3,7.5,"German Shepherd","Fine Needle",10,2,"Positive",3
"Dog_036",1,1,7,"German Shepherd","Core Biopsy",10,2.5,"Positive",7
"Dog_036",2,2,7,"German Shepherd","Surgical",20,2.1,"Positive",2
"Dog_036",3,3,7,"German Shepherd","Fine Needle",20,2.8,"Positive",5
"Dog_037",1,1,9.6,"Labrador","Core Biopsy",10,4.8,"Positive",11
"Dog_037",2,2,9.6,"Labrador","Core Biopsy",5,4.9,"Positive",14
"Dog_037",3,3,9.6,"Labrador","Core Biopsy",15,4.5,"Negative",13
"Dog_038",1,1,5.4,"Poodle","Core Biopsy",10,2.1,"Positive",5
"Dog_038",2,2,5.4,"Poodle","Surgical",5,2.4,"Positive",7
"Dog_038",3,3,5.4,"Poodle","Surgical",15,2.3,"Negative",5
"Dog_039",1,1,4.3,"Mixed","Fine Needle",5,1.6,"Positive",4
"Dog_039",2,2,4.3,"Mixed","Fine Needle",15,2.2,"Negative",2
"Dog_039",3,3,4.3,"Mixed","Fine Needle",10,2.1,"Negative",4
"Dog_040",1,1,7.8,"German Shepherd","Surgical",5,NA,"Positive",5
"Dog_040",2,2,7.8,"German Shepherd","Fine Needle",5,2,"Positive",5
"Dog_040",3,3,7.8,"German Shepherd","Surgical",15,2.2,"Positive",7
"Dog_041",1,1,8.9,"Labrador","Core Biopsy",15,0.9,"Negative",7
"Dog_041",2,2,8.9,"Labrador","Fine Needle",10,2.1,"Negative",6
"Dog_041",3,3,8.9,"Labrador","Core Biopsy",15,1.6,"Negative",4
"Dog_042",1,1,3.4,"Labrador","Fine Needle",5,2.3,"Positive",6
"Dog_042",2,2,3.4,"Labrador","Fine Needle",10,1.5,"Negative",5
"Dog_042",3,3,3.4,"Labrador","Surgical",15,1.5,"Positive",1
"Dog_043",1,1,6.5,"German Shepherd","Surgical",10,0.4,"Negative",3
"Dog_043",2,2,6.5,"German Shepherd","Core Biopsy",10,0.4,"Negative",1
"Dog_043",3,3,6.5,"German Shepherd","Fine Needle",20,1.6,"Negative",8
"Dog_044",1,1,3.2,"German Shepherd","Core Biopsy",5,0.1,"Negative",0
"Dog_044",2,2,3.2,"German Shepherd","Core Biopsy",15,0,"Negative",2
"Dog_044",3,3,3.2,"German Shepherd","Core Biopsy",20,0.4,"Positive",0
"Dog_045",1,1,7.6,"Labrador","Core Biopsy",5,1.9,"Negative",5
"Dog_045",2,2,7.6,"Labrador","Core Biopsy",20,2.8,"Positive",7
"Dog_045",3,3,7.6,"Labrador","Surgical",5,3.2,"Positive",6
"Dog_046",1,1,4.4,"Poodle","Surgical",5,0,"Negative",4
"Dog_046",2,2,4.4,"Poodle","Core Biopsy",15,0,"Positive",3
"Dog_046",3,3,4.4,"Poodle","Fine Needle",20,0.7,"Positive",2
"Dog_046",4,4,4.4,"Poodle","Surgical",5,0,"Negative",2
"Dog_047",1,1,6.6,"German Shepherd","Fine Needle",10,2.6,"Negative",5
"Dog_047",2,2,6.6,"German Shepherd","Surgical",15,2.2,"Positive",5
"Dog_047",3,3,6.6,"German Shepherd","Core Biopsy",5,2.8,"Negative",8
"Dog_047",4,4,6.6,"German Shepherd","Fine Needle",10,3.7,"Positive",11
"Dog_048",1,1,10.2,"Labrador","Core Biopsy",15,2.8,"Positive",11
"Dog_048",2,2,10.2,"Labrador","Fine Needle",10,4,"Positive",8
"Dog_048",3,3,10.2,"Labrador","Core Biopsy",15,3,"Positive",6
"Dog_048",4,4,10.2,"Labrador","Core Biopsy",20,3.7,"Positive",4
"Dog_049",1,1,5.2,"German Shepherd","Surgical",20,2.3,"Negative",5
"Dog_049",2,2,5.2,"German Shepherd","Surgical",10,2.4,"Negative",2
"Dog_049",3,3,5.2,"German Shepherd","Core Biopsy",15,1.8,"Negative",5
"Dog_049",4,4,5.2,"German Shepherd","Core Biopsy",10,2.3,"Negative",7
"Dog_050",1,1,3.7,"Labrador","Surgical",10,1,"Negative",6
"Dog_050",2,2,3.7,"Labrador","Surgical",5,1.3,"Negative",2
"Dog_050",3,3,3.7,"Labrador","Core Biopsy",10,1.1,"Positive",1
"Dog_050",4,4,3.7,"Labrador","Core Biopsy",10,NA,"Negative",5
