"id","outcome","var1","var2"
130,"NoEvent","Group3",94.2892458407772
131,"NoEvent","Group1",66.6023264864048
132,"Event","Group5",94.7121991708933
133,"NoEvent","Group4",66.0009120744746
134,"Event","Group2",89.4633437267888
135,"NoEvent","Group4",87.2596840631109
136,"NoEvent","Group5",163.490395685601
137,"Event","Group5",109.82411179747
138,"Event","Group2",108.840323174635
139,"Event","Group2",104.003963664854
140,"Event","Group2",89.416095761636
141,"Event","Group3",46.456622902591
142,"Event","Group2",136.254238625942
143,"NoEvent","Group1",89.6749922664318
144,"NoEvent","Group3",82.7591637252932
145,"Event","Group2",87.4006205981181
146,"Event","Group5",121.499249237338
147,"Event","Group1",114.913797080046
148,"NoEvent","Group1",126.431716071038
149,"Event","Group5",105.589382826147
150,"Event","Group1",97.6998750890363
151,"Event","Group4",94.9953082485429
152,"Event","Group1",68.8565140055755
153,"NoEvent","Group1",105.191909306852
154,"Event","Group1",93.2525124491951
155,"NoEvent","Group2",92.3406965989812
156,"NoEvent","Group2",121.053845213991
157,"Event","Group5",124.224269470776
158,"NoEvent","Group5",149.073897444437
159,"NoEvent","Group5",109.298546735085
160,"Event","Group4",98.10300383494
161,"Event","Group2",81.8333705169565
162,"NoEvent","Group5",99.3332679341302
163,"NoEvent","Group5",134.411944928121
164,"NoEvent","Group1",95.2749675267823
165,"NoEvent","Group2",134.173972826511
166,"NoEvent","Group2",95.5448640090882
167,"NoEvent","Group2",104.206603662458
168,"Event","Group5",149.618407677178
169,"Event","Group1",100.543296847749
170,"NoEvent","Group2",70.9458965309291
171,"NoEvent","Group4",86.5271438516611
172,"Event","Group3",78.861673305393
173,"Event","Group1",101.79673698216
174,"Event","Group5",88.5542099434698
175,"NoEvent","Group4",107.560788773133
176,"NoEvent","Group4",132.476430257475
177,"Event","Group3",80.4741287597648
178,"NoEvent","Group4",79.832510045086
179,"Event","Group5",94.8720097525847
180,"NoEvent","Group3",117.656334798241
181,"NoEvent","Group5",107.520542470074
182,"NoEvent","Group1",102.089017769073
183,"Event","Group5",131.434988554991
184,"Event","Group3",94.6271800362371
185,"Event","Group4",136.970437721656
186,"NoEvent","Group4",69.7880705947553
187,"Event","Group2",105.621224573881
188,"NoEvent","Group5",118.085869306401
189,"Event","Group4",122.77314855256
190,"Event","Group1",70.9532371261535
191,"NoEvent","Group1",87.4729335691577
192,"Event","Group4",61.3584884804619
193,"Event","Group1",95.2187681937679
194,"Event","Group4",89.9945699913308
195,"Event","Group5",119.749434607382
196,"NoEvent","Group3",108.308424544849
197,"NoEvent","Group5",94.0776736169544
198,"Event","Group3",127.244434784911
199,"Event","Group2",97.1140707656254
200,"NoEvent","Group3",126.31455751089
201,"NoEvent","Group4",113.332215328902
202,"NoEvent","Group3",113.227275519856
203,"NoEvent","Group4",118.134407451619
204,"NoEvent","Group2",87.5880108141122
205,"NoEvent","Group4",71.7684742634671
206,"NoEvent","Group2",116.20488573784
207,"Event","Group2",73.9800399351327
208,"NoEvent","Group1",81.9277639642282
209,"NoEvent","Group5",95.6251307070233
210,"Event","Group1",111.291759943618
211,"Event","Group1",112.185127835432
212,"Event","Group2",63.2795826242468
213,"NoEvent","Group1",104.882932193361
214,"Event","Group4",64.5727633235019
215,"NoEvent","Group2",145.012205389036
216,"NoEvent","Group3",81.139822924145
217,"NoEvent","Group3",133.737789123924
218,"NoEvent","Group4",93.2237614713329
219,"NoEvent","Group2",112.414271830443
220,"NoEvent","Group4",83.945578262852
221,"Event","Group3",102.331877663777
222,"NoEvent","Group1",112.161347841796
223,"NoEvent","Group2",130.558836709108
224,"Event","Group2",87.4584801216422
225,"Event","Group3",68.7146650804203
226,"NoEvent","Group3",75.4883600235322
227,"Event","Group1",102.519343302282
228,"Event","Group1",105.186616421292
229,"Event","Group1",94.4942698233494
230,"Event","Group4",100.995344310193
231,"Event","Group1",93.7860455009852
232,"NoEvent","Group3",91.5712910423946
233,"NoEvent","Group3",144.924155902257
234,"Event","Group5",101.73314745985
235,"Event","Group5",124.470277509511
236,"NoEvent","Group2",152.364656398234
237,"Event","Group2",73.4923804549214
238,"NoEvent","Group3",97.2448235565068
239,"NoEvent","Group5",99.9466203098922
240,"NoEvent","Group2",124.118189003688
241,"Event","Group3",93.4310184860395
242,"NoEvent","Group5",106.285711346191
243,"NoEvent","Group1",103.629305074081
244,"NoEvent","Group3",107.495681840736
245,"Event","Group1",87.1494960463482
246,"Event","Group1",151.509066372898
247,"Event","Group4",77.1861897555551
248,"Event","Group2",93.8050575398837
249,"Event","Group4",108.32486094385
250,"Event","Group4",108.63061141401
251,"NoEvent","Group2",76.617261879318
252,"NoEvent","Group5",96.9965521725417
253,"NoEvent","Group5",72.0175576390729
254,"NoEvent","Group3",118.346784273661
255,"NoEvent","Group2",81.6074890865027
256,"NoEvent","Group3",77.4761287672472
257,"NoEvent","Group5",99.883299222772
258,"Event","Group5",74.8773403683795
259,"NoEvent","Group3",104.255829480508
260,"NoEvent","Group5",88.8876074106064
261,"Event","Group5",87.4337982191306
262,"NoEvent","Group3",68.0999709319196
263,"Event","Group2",50.4709901095487
264,"Event","Group3",122.205908234937
265,"NoEvent","Group2",135.21035189152
266,"Event","Group4",125.129994929979
267,"Event","Group3",98.3693220396071
268,"NoEvent","Group4",102.945431693271
269,"NoEvent","Group1",107.091951190848
270,"NoEvent","Group1",93.2571779327794
271,"NoEvent","Group3",109.85307903313
272,"NoEvent","Group4",116.597335871677
273,"Event","Group5",118.952230792064
274,"NoEvent","Group3",123.30857668932
275,"NoEvent","Group3",91.5766726741914
276,"Event","Group5",106.69205512874
277,"Event","Group1",97.8755469005365
278,"Event","Group2",74.2582702756371
279,"NoEvent","Group1",81.838802799001
280,"NoEvent","Group5",94.32128502642
281,"NoEvent","Group1",105.331849167984
282,"Event","Group4",124.486386179146
283,"NoEvent","Group3",116.430510536515
284,"Event","Group2",75.0446641547597
285,"Event","Group2",112.025500277167
286,"Event","Group2",81.824955677419
287,"Event","Group2",118.006897754946
288,"Event","Group2",80.9225697210781
289,"Event","Group5",75.1821657117419
290,"NoEvent","Group1",101.631001916034
291,"NoEvent","Group2",83.7384617710047
292,"Event","Group3",121.295693176036
293,"NoEvent","Group5",79.0196156300811
294,"NoEvent","Group1",110.320186503348
295,"NoEvent","Group5",119.714939688367
296,"NoEvent","Group3",92.9668604403588
297,"Event","Group5",109.034984569435
298,"NoEvent","Group5",88.1285564253814
299,"Event","Group1",77.2700946349577
300,"NoEvent","Group3",53.3005643745638
301,"Event","Group4",81.4680548073823
302,"Event","Group2",107.903432029859
303,"Event","Group3",101.483428010988
304,"Event","Group2",78.8701333279392
305,"Event","Group3",98.4489099296321
306,"NoEvent","Group2",51.6793951574686
307,"NoEvent","Group2",116.190397569654
308,"NoEvent","Group4",82.6050029341151
309,"NoEvent","Group1",97.4984511631295
310,"NoEvent","Group1",108.223032375691
311,"Event","Group2",82.9912938990647
312,"Event","Group5",129.331021424168
313,"Event","Group3",106.137570864194
314,"NoEvent","Group1",108.593616656001
315,"Event","Group3",116.20754129496
316,"NoEvent","Group4",118.423458222484
317,"Event","Group5",110.896157663894
318,"Event","Group5",147.39190047106
319,"NoEvent","Group5",87.9381147728218
320,"Event","Group5",131.216792535
321,"NoEvent","Group1",72.9232770403485
322,"Event","Group4",89.8399079784731
323,"Event","Group3",90.4337773516204
324,"Event","Group3",82.0365943553685
325,"NoEvent","Group1",102.165490474917
326,"NoEvent","Group4",112.997591252187
327,"Event","Group1",83.5905321451599
328,"NoEvent","Group5",107.195230571152
329,"NoEvent","Group3",112.66649856876
330,"NoEvent","Group4",101.956318377311
331,"Event","Group2",83.9763248810002
332,"Event","Group4",77.9541369326534
333,"Event","Group5",82.9668597485532
334,"NoEvent","Group1",110.38836346096
335,"Event","Group5",135.646312265915
336,"Event","Group2",87.9994597956764
337,"Event","Group2",129.440576374442
338,"Event","Group3",79.2490577583129
339,"NoEvent","Group3",88.571013124226
340,"Event","Group4",98.464217791302
341,"NoEvent","Group5",91.4005523905156
342,"NoEvent","Group2",103.566903031791
343,"Event","Group1",116.698426823341
344,"NoEvent","Group5",120.933015136704
345,"Event","Group4",115.249920755142
346,"NoEvent","Group1",69.8896264940055
347,"Event","Group3",88.185811768761
348,"Event","Group3",92.9323116382415
349,"NoEvent","Group1",113.865558232323
350,"Event","Group3",68.6825443005495
351,"NoEvent","Group1",86.4420534629791
352,"Event","Group3",113.304319968221
353,"Event","Group5",119.10490083614
354,"Event","Group5",105.820089413474
355,"NoEvent","Group1",133.690479691636
356,"Event","Group1",51.7167027584212
357,"NoEvent","Group3",104.597952672411
358,"Event","Group5",98.6391084173082
359,"Event","Group5",79.9652989205524
360,"Event","Group4",88.7996907381727
361,"Event","Group4",104.811360543672
362,"Event","Group5",124.278830290377
363,"NoEvent","Group1",105.047169703281
364,"NoEvent","Group4",113.048282093848
365,"Event","Group5",81.4221471007995
366,"NoEvent","Group4",91.1061209818675
367,"NoEvent","Group4",99.2131562915247
368,"Event","Group5",102.861601143204
369,"Event","Group5",110.583999577537
370,"NoEvent","Group3",96.28883023364
371,"Event","Group3",115.333501172425
372,"NoEvent","Group4",105.286460319642
373,"NoEvent","Group5",72.883554473424
374,"Event","Group4",107.181430966434
375,"NoEvent","Group3",65.8349432110734
376,"Event","Group1",87.2814344528955
377,"Event","Group3",105.808666963181
378,"NoEvent","Group5",73.9241153458043
379,"NoEvent","Group4",97.7179880134465
380,"NoEvent","Group1",98.140758299525
381,"NoEvent","Group4",97.5487874710525
382,"Event","Group1",82.3337845736308
383,"NoEvent","Group1",112.003389388026
384,"NoEvent","Group5",114.342687312659
385,"Event","Group4",92.1825043505134
386,"NoEvent","Group1",108.557850341724
387,"Event","Group2",83.257895314074
388,"Event","Group3",100.45119735067
389,"NoEvent","Group4",115.201216949714
390,"NoEvent","Group3",104.914266641762
391,"NoEvent","Group5",102.827826937034
392,"NoEvent","Group2",126.811546513496
393,"NoEvent","Group1",85.0178872516792
394,"NoEvent","Group4",115.53169075139
395,"Event","Group2",104.563632136594
396,"NoEvent","Group4",85.2719902124091
397,"Event","Group5",98.5914503772803
398,"Event","Group3",92.4774682050575
399,"NoEvent","Group5",113.264461371639
400,"NoEvent","Group1",108.213917678801
401,"NoEvent","Group3",63.3630197296458
402,"Event","Group2",132.968476427254
403,"Event","Group5",57.3416413110741
404,"Event","Group2",113.740123336167
405,"Event","Group5",85.0247670666961
406,"Event","Group1",121.382255186507
407,"NoEvent","Group1",107.936586597694
408,"Event","Group2",127.707065184259
409,"Event","Group2",96.4383976312621
410,"NoEvent","Group2",51.402386549777
411,"NoEvent","Group5",95.3597608588179
412,"NoEvent","Group5",102.118743238505
413,"Event","Group5",124.351395679675
414,"Event","Group3",76.5647280112458
415,"NoEvent","Group2",94.6704835220988
416,"NoEvent","Group1",90.9062888884526
417,"Event","Group4",130.098643362948
418,"NoEvent","Group1",67.5492331974396
419,"NoEvent","Group3",121.181099561521
420,"NoEvent","Group1",123.139600708585
421,"Event","Group2",97.720822820014
422,"Event","Group1",117.103819402138
423,"Event","Group5",110.222781843794
424,"NoEvent","Group1",85.7116202965434
425,"NoEvent","Group3",86.1005681033057
426,"Event","Group4",59.5496045560507
427,"Event","Group1",131.629206433879
428,"NoEvent","Group1",125.936663915701
429,"Event","Group1",125.407090747457
430,"Event","Group2",99.6784426429236
431,"Event","Group4",88.364740932036
432,"Event","Group2",66.9284906770704
433,"NoEvent","Group1",88.5118245555335
434,"NoEvent","Group2",81.847558241758
435,"Event","Group4",72.6892086718951
436,"Event","Group3",106.165998536592
437,"Event","Group2",90.5474499515507
438,"Event","Group2",108.924444713354
439,"Event","Group3",84.4968445829698
440,"NoEvent","Group1",141.213752350363
441,"NoEvent","Group3",151.707927470444
442,"Event","Group5",129.996128061806
443,"Event","Group5",97.9961478442273
444,"Event","Group1",112.943716293271
445,"Event","Group2",71.9082047036765
446,"Event","Group4",73.3176470446278
447,"Event","Group1",91.0654130989464
448,"NoEvent","Group5",133.812397212354
449,"Event","Group5",95.532697086074
450,"Event","Group3",118.468770216078
451,"NoEvent","Group4",99.0094861231309
452,"NoEvent","Group2",93.062182314316
453,"Event","Group2",103.985038392252
454,"Event","Group4",97.3534442989624
455,"NoEvent","Group4",129.084634453979
456,"NoEvent","Group1",73.5872165329947
457,"Event","Group2",102.184143269551
458,"Event","Group2",99.49055564158
459,"NoEvent","Group1",97.296848181393
460,"Event","Group1",87.1894937173754
461,"Event","Group1",114.349651114831
462,"NoEvent","Group1",70.4618037395855
463,"Event","Group4",115.082095963264
464,"NoEvent","Group1",56.2038165025194
465,"Event","Group4",131.061996954241
466,"Event","Group3",114.041239979502
467,"NoEvent","Group1",101.030476250705
468,"Event","Group5",51.4405258008235
469,"Event","Group5",98.2785853509296
470,"Event","Group5",85.2328510848216
471,"NoEvent","Group5",123.354480527052
472,"NoEvent","Group5",67.3470076749418
473,"NoEvent","Group1",67.7374168851807
474,"NoEvent","Group3",95.5068129642371
475,"NoEvent","Group1",98.8966369930812
476,"NoEvent","Group1",87.4526808615163
477,"Event","Group2",96.3130123917446
478,"Event","Group2",94.739106781648
479,"Event","Group5",89.4870751749666
480,"Event","Group1",86.4954500452376
481,"NoEvent","Group2",96.8642279066857
482,"Event","Group1",119.384854833787
483,"NoEvent","Group5",137.265322630046
484,"Event","Group1",120.377149776775
485,"Event","Group2",100.91383643253
486,"NoEvent","Group3",75.9641665504449
487,"Event","Group2",118.187083104619
488,"Event","Group5",129.239164410003
489,"Event","Group2",96.3074649209659
490,"Event","Group5",96.1966346323503
491,"NoEvent","Group1",124.865896053258
492,"NoEvent","Group2",103.711749963663
493,"NoEvent","Group5",145.420445585745
494,"NoEvent","Group3",98.9689016022162
495,"Event","Group4",67.6890234160831
496,"Event","Group1",121.159116798945
497,"Event","Group4",107.237895123639
498,"Event","Group1",94.6824658849897
499,"Event","Group1",74.8843719652927
500,"NoEvent","Group3",117.529683343446
