"month_numeric","month_label","service_area","satisfaction_score","response_count","weighted_satisfaction"
546,"2022-07","Maternity",92.4,56,51.744
577,"2022-08","Maternity",91.3,58,52.954
608,"2022-09","Maternity",87.9,43,37.797
638,"2022-10","Maternity",92.8,47,43.616
669,"2022-11","Maternity",93.2,51,47.532
699,"2022-12","Maternity",94.7,65,61.555
730,"2023-01","Maternity",92.3,62,57.226
761,"2023-02","Maternity",96.8,69,66.792
789,"2023-03","Maternity",96,63,60.48
820,"2023-04","Maternity",96.4,73,70.372
850,"2023-05","Maternity",95.6,70,66.92
881,"2023-06","Maternity",90.1,62,55.862
911,"2023-07","Maternity",93.5,49,45.815
942,"2023-08","Maternity",87.8,53,46.534
973,"2023-09","Maternity",92.3,46,42.458
1003,"2023-10","Maternity",97,45,43.65
1034,"2023-11","Maternity",97,52,50.44
1064,"2023-12","Maternity",96.3,65,62.595
0,"2021-01","Outpatient",83.1,207,172.017
31,"2021-02","Outpatient",81.7,204,166.668
59,"2021-03","Outpatient",83.6,199,166.364
90,"2021-04","Outpatient",79.1,187,147.917
120,"2021-05","Outpatient",80,226,180.8
151,"2021-06","Outpatient",75.5,211,159.305
181,"2021-07","Outpatient",77.4,189,146.286
212,"2021-08","Outpatient",83.7,148,123.876
243,"2021-09","Outpatient",77.7,173,134.421
273,"2021-10","Outpatient",77.8,190,147.82
304,"2021-11","Outpatient",83.1,194,161.214
334,"2021-12","Outpatient",85.9,180,154.62
365,"2022-01","Outpatient",82.3,232,190.936
396,"2022-02","Outpatient",86.2,184,158.608
424,"2022-03","Outpatient",81.8,222,181.596
455,"2022-04","Outpatient",77.3,210,162.33
485,"2022-05","Outpatient",82.6,194,160.244
516,"2022-06","Outpatient",79.9,169,135.031
546,"2022-07","Outpatient",83.5,204,170.34
577,"2022-08","Outpatient",82.3,172,141.556
608,"2022-09","Outpatient",80.7,164,132.348
638,"2022-10","Outpatient",81.4,154,125.356
669,"2022-11","Outpatient",82.4,217,178.808
699,"2022-12","Outpatient",83.2,211,175.552
730,"2023-01","Outpatient",84.2,216,181.872
761,"2023-02","Outpatient",84.5,220,185.9
789,"2023-03","Outpatient",85.8,214,183.612
820,"2023-04","Outpatient",85.6,212,181.472
850,"2023-05","Outpatient",84.1,230,193.43
881,"2023-06","Outpatient",85,184,156.4
911,"2023-07","Outpatient",84,230,193.2
942,"2023-08","Outpatient",89.1,166,147.906
973,"2023-09","Outpatient",83.1,208,172.848
1003,"2023-10","Outpatient",83.3,171,142.443
1034,"2023-11","Outpatient",84.7,200,169.4
1064,"2023-12","Outpatient",81.4,180,146.52
0,"2021-01","Radiology",82.3,103,84.769
31,"2021-02","Radiology",81.6,106,86.496
59,"2021-03","Radiology",85,127,107.95
90,"2021-04","Radiology",87.2,123,107.256
120,"2021-05","Radiology",88.6,102,90.372
151,"2021-06","Radiology",78.2,97,75.854
181,"2021-07","Radiology",84.4,82,69.208
212,"2021-08","Radiology",84.8,100,84.8
243,"2021-09","Radiology",81.1,65,52.715
273,"2021-10","Radiology",79.4,88,69.872
304,"2021-11","Radiology",84.9,97,82.353
334,"2021-12","Radiology",87.3,91,79.443
365,"2022-01","Radiology",87.1,117,101.907
396,"2022-02","Radiology",89.9,111,99.789
424,"2022-03","Radiology",86.6,128,110.848
455,"2022-04","Radiology",94.1,139,130.799
485,"2022-05","Radiology",81.9,101,82.719
516,"2022-06","Radiology",84.6,92,77.832
546,"2022-07","Radiology",83.1,118,98.058
577,"2022-08","Radiology",79.8,71,56.658
608,"2022-09","Radiology",84.1,93,78.213
638,"2022-10","Radiology",80.7,97,78.279
669,"2022-11","Radiology",86.1,113,97.293
699,"2022-12","Radiology",87.1,93,81.003
730,"2023-01","Radiology",88.2,94,82.908
761,"2023-02","Radiology",87.6,110,96.36
789,"2023-03","Radiology",90.9,118,107.262
820,"2023-04","Radiology",91,122,111.02
850,"2023-05","Radiology",89.8,121,108.658
881,"2023-06","Radiology",88.4,96,84.864
911,"2023-07","Radiology",87.1,79,68.809
942,"2023-08","Radiology",85.7,101,86.557
973,"2023-09","Radiology",81.6,86,70.176
1003,"2023-10","Radiology",80.7,79,63.753
1034,"2023-11","Radiology",90.1,103,92.803
1064,"2023-12","Radiology",87.1,108,94.068
0,"2021-01","Laboratory",80.7,128,103.296
31,"2021-02","Laboratory",74.6,96,71.616
59,"2021-03","Laboratory",83.6,151,126.236
90,"2021-04","Laboratory",84.3,138,116.334
120,"2021-05","Laboratory",81.5,124,101.06
151,"2021-06","Laboratory",82.9,142,117.718
181,"2021-07","Laboratory",82.2,123,101.106
212,"2021-08","Laboratory",79.2,113,89.496
243,"2021-09","Laboratory",80.8,92,74.336
273,"2021-10","Laboratory",76.8,128,98.304
304,"2021-11","Laboratory",74.7,114,85.158
334,"2021-12","Laboratory",78.5,123,96.555
365,"2022-01","Laboratory",81.4,150,122.1
396,"2022-02","Laboratory",80.6,136,109.616
424,"2022-03","Laboratory",91.9,133,122.227
455,"2022-04","Laboratory",83.4,118,98.412
485,"2022-05","Laboratory",85.2,124,105.648
516,"2022-06","Laboratory",81.9,112,91.728
546,"2022-07","Laboratory",87.3,106,92.538
577,"2022-08","Laboratory",81.8,106,86.708
608,"2022-09","Laboratory",86.3,117,100.971
638,"2022-10","Laboratory",78.6,125,98.25
669,"2022-11","Laboratory",84.7,114,96.558
699,"2022-12","Laboratory",80.6,116,93.496
730,"2023-01","Laboratory",86.3,135,116.505
761,"2023-02","Laboratory",84.1,121,101.761
789,"2023-03","Laboratory",87.7,112,98.224
820,"2023-04","Laboratory",89.7,137,122.889
850,"2023-05","Laboratory",91.6,125,114.5
881,"2023-06","Laboratory",83.2,91,75.712
911,"2023-07","Laboratory",87.2,87,75.864
942,"2023-08","Laboratory",86.4,113,97.632
973,"2023-09","Laboratory",81.1,120,97.32
1003,"2023-10","Laboratory",94.2,116,109.272
1034,"2023-11","Laboratory",84.1,110,92.51
1064,"2023-12","Laboratory",86.3,139,119.957
0,"2021-01","Pharmacy",81.8,224,183.232
31,"2021-02","Pharmacy",84.8,185,156.88
59,"2021-03","Pharmacy",84.3,171,144.153
90,"2021-04","Pharmacy",87.7,190,166.63
120,"2021-05","Pharmacy",80.4,193,155.172
151,"2021-06","Pharmacy",79.3,194,153.842
181,"2021-07","Pharmacy",76.6,192,147.072
212,"2021-08","Pharmacy",81.7,161,131.537
243,"2021-09","Pharmacy",85.8,157,134.706
273,"2021-10","Pharmacy",87.3,157,137.061
304,"2021-11","Pharmacy",80.8,184,148.672
334,"2021-12","Pharmacy",83.9,151,126.689
365,"2022-01","Pharmacy",84.2,203,170.926
396,"2022-02","Pharmacy",89.3,172,153.596
424,"2022-03","Pharmacy",90,214,192.6
455,"2022-04","Pharmacy",91.1,192,174.912
485,"2022-05","Pharmacy",82.3,220,181.06
516,"2022-06","Pharmacy",82.2,157,129.054
546,"2022-07","Pharmacy",83.7,162,135.594
577,"2022-08","Pharmacy",82.2,168,138.096
608,"2022-09","Pharmacy",85.7,167,143.119
638,"2022-10","Pharmacy",84.3,139,117.177
669,"2022-11","Pharmacy",81.2,169,137.228
699,"2022-12","Pharmacy",91.3,152,138.776
730,"2023-01","Pharmacy",90.8,199,180.692
761,"2023-02","Pharmacy",88.4,186,164.424
789,"2023-03","Pharmacy",87.5,205,179.375
820,"2023-04","Pharmacy",89.7,216,193.752
850,"2023-05","Pharmacy",87,192,167.04
881,"2023-06","Pharmacy",93.4,195,182.13
911,"2023-07","Pharmacy",86.8,169,146.692
942,"2023-08","Pharmacy",86.8,165,143.22
973,"2023-09","Pharmacy",88.9,172,152.908
1003,"2023-10","Pharmacy",88.7,165,146.355
1034,"2023-11","Pharmacy",93.7,165,154.605
1064,"2023-12","Pharmacy",91.7,162,148.554
