"year","cancer_type","incidence_rate"
2011,"Lymphoma",21.3
2012,"Lymphoma",24.3
2013,"Lymphoma",24.5
2014,"Lymphoma",24.3
2015,"Lymphoma",25.4
2016,"Lymphoma",24.8
2017,"Lymphoma",23.9
2018,"Lymphoma",26.5
2019,"Lymphoma",24.7
2020,"Lymphoma",25.8
2021,"Lymphoma",24.5
2022,"Lymphoma",24.1
2023,"Lymphoma",24.7
1990,"Leukemia",13.3
1991,"Leukemia",14.5
1992,"Leukemia",13.1
1993,"Leukemia",13.5
1994,"Leukemia",14.3
1995,"Leukemia",13.1
1996,"Leukemia",14
1997,"Leukemia",14.2
1998,"Leukemia",15.4
1999,"Leukemia",14.3
2000,"Leukemia",14.2
2001,"Leukemia",14.1
2002,"Leukemia",15
2003,"Leukemia",14.5
2004,"Leukemia",14.4
2005,"Leukemia",14.6
2006,"Leukemia",15.6
2007,"Leukemia",16
2008,"Leukemia",14.5
2009,"Leukemia",15
2010,"Leukemia",14.8
2011,"Leukemia",16.4
2012,"Leukemia",15.6
2013,"Leukemia",14
2014,"Leukemia",14.9
2015,"Leukemia",13.7
2016,"Leukemia",15.3
2017,"Leukemia",15.9
2018,"Leukemia",14.8
2019,"Leukemia",14.6
2020,"Leukemia",16.4
2021,"Leukemia",14.9
2022,"Leukemia",16.3
2023,"Leukemia",15.8
1990,"Pancreatic",13.8
1991,"Pancreatic",14.1
1992,"Pancreatic",14.3
1993,"Pancreatic",14.6
1994,"Pancreatic",14.2
1995,"Pancreatic",14.3
1996,"Pancreatic",13.8
1997,"Pancreatic",13.8
1998,"Pancreatic",14.4
1999,"Pancreatic",14.9
2000,"Pancreatic",14.6
2001,"Pancreatic",15.9
2002,"Pancreatic",15.1
2003,"Pancreatic",16
2004,"Pancreatic",16.6
2005,"Pancreatic",15.4
2006,"Pancreatic",17.1
2007,"Pancreatic",15.2
2008,"Pancreatic",16.9
2009,"Pancreatic",18
2010,"Pancreatic",17.6
2011,"Pancreatic",18
2012,"Pancreatic",17.2
2013,"Pancreatic",18
2014,"Pancreatic",18.7
2015,"Pancreatic",17.3
2016,"Pancreatic",19.1
2017,"Pancreatic",17.7
2018,"Pancreatic",18.5
2019,"Pancreatic",20.7
2020,"Pancreatic",19.5
2021,"Pancreatic",19.3
2022,"Pancreatic",20.2
2023,"Pancreatic",19.6
