record_id,hospital,quarter,metric_type,quality_grade,compliance_score,case_volume
QM0068,Hospital D,Q1 2025,Treatment Adherence,Excellent,94.59763842638054,147
QM0069,Hospital A,Q2 2025,Patient Safety,Excellent,97.37408741358348,152
QM0070,Hospital A,Q1 2025,Timely Reporting,Poor,48.37195233156969,204
QM0071,Hospital B,Q2 2025,Treatment Adherence,Good,64.2944516153615,157
QM0072,Hospital E,Q1 2025,Diagnostic Accuracy,Excellent,100,156
QM0073,Hospital E,Q4 2025,Treatment Adherence,Good,76.68138985979164,177
QM0074,Hospital E,Q1 2025,Diagnostic Accuracy,Fair,77.66939697369304,131
QM0075,Hospital E,Q3 2025,Patient Safety,Excellent,96.92520679919765,133
QM0076,Hospital A,Q3 2025,Timely Reporting,Excellent,92.122882191682,131
QM0077,Hospital D,Q1 2025,Timely Reporting,Good,84.79917878503379,177
QM0078,Hospital A,Q3 2025,Patient Safety,Excellent,89.75979582822531,138
QM0079,Hospital A,Q4 2025,Timely Reporting,Good,95.09338046266183,210
QM0080,Hospital D,Q1 2025,Treatment Adherence,Good,82.46324887708833,104
QM0081,Hospital B,Q1 2025,Diagnostic Accuracy,Good,75.35194152037721,149
QM0082,Hospital C,Q2 2025,Patient Safety,Excellent,94.97051100639162,169
QM0083,Hospital B,Q2 2025,Timely Reporting,Excellent,95.9830545530396,104
QM0084,Hospital C,Q3 2025,Treatment Adherence,Good,81.97151171412423,104
QM0085,Hospital E,Q1 2025,Diagnostic Accuracy,Good,82.99110289138538,87
QM0086,Hospital D,Q1 2025,Timely Reporting,Fair,57.16167893850008,98
QM0087,Hospital D,Q1 2025,Diagnostic Accuracy,Good,78.56320909908972,122
QM0088,Hospital A,Q1 2025,Timely Reporting,Excellent,NA,137
QM0089,Hospital B,Q2 2025,Timely Reporting,Good,75.33419253724021,112
QM0090,Hospital C,Q4 2025,Treatment Adherence,Good,86.76555568665684,185
QM0091,Hospital C,Q1 2025,Diagnostic Accuracy,Good,82.57457295202953,120
QM0092,Hospital B,Q4 2025,Patient Safety,Good,78.20774811071682,147
QM0093,Hospital D,Q2 2025,Timely Reporting,Fair,69.37962382058075,151
QM0094,Hospital B,Q3 2025,Treatment Adherence,Good,78.50306830020378,74
QM0095,Hospital E,Q3 2025,Patient Safety,Fair,67.38947955872102,270
QM0096,Hospital A,Q2 2025,Diagnostic Accuracy,Excellent,90.97020626102811,209
QM0097,Hospital A,Q4 2025,Patient Safety,Excellent,92.49433950269155,109
QM0098,Hospital B,Q3 2025,Timely Reporting,Good,76.03228003929897,244
QM0099,Hospital C,Q4 2025,Treatment Adherence,Fair,66.56482174584801,162
QM0100,Hospital B,Q3 2025,Timely Reporting,Good,73.8716466549025,237
QM0101,Hospital A,Q3 2025,Treatment Adherence,NA,60.60293970345904,193
QM0102,Hospital C,Q2 2025,Timely Reporting,Good,82.21280190915904,145
QM0103,Hospital E,Q4 2025,Patient Safety,Excellent,89.84690931019507,113
QM0104,Hospital B,Q1 2025,Timely Reporting,Good,74.12916810076624,139
QM0105,Hospital A,Q3 2025,Timely Reporting,Excellent,98.65085027560866,160
QM0106,Hospital D,Q3 2025,Treatment Adherence,Excellent,95.51355355802552,123
QM0107,Hospital B,Q2 2025,Patient Safety,Good,79.22090199911584,141
QM0108,Hospital B,Q1 2025,Timely Reporting,Good,80.6688173099714,101
QM0109,Hospital B,Q2 2025,Diagnostic Accuracy,Good,75.42418859404474,182
QM0110,Hospital D,Q4 2025,Treatment Adherence,Good,80.04700157804007,208
QM0111,Hospital A,Q3 2025,Patient Safety,Excellent,99.13892107316067,110
QM0112,Hospital D,Q3 2025,Patient Safety,Good,73.32020486728847,75
QM0113,Hospital A,Q2 2025,Patient Safety,Good,76.45235766536203,168
QM0114,Hospital B,Q2 2025,Diagnostic Accuracy,Excellent,94.31303112819532,161
QM0115,Hospital E,Q3 2025,Timely Reporting,NA,NA,146
QM0116,Hospital B,Q3 2025,Timely Reporting,Good,76.25779723275704,149
QM0117,Hospital D,Q4 2025,Timely Reporting,Fair,57.88218569825015,160
QM0118,Hospital E,Q1 2025,Treatment Adherence,Good,78.53598698067317,123
QM0119,Hospital B,Q3 2025,Patient Safety,Poor,37.620484793823564,181
QM0120,Hospital D,Q1 2025,Treatment Adherence,Good,86.60019632694163,160
QM0121,Hospital E,Q4 2025,Patient Safety,Excellent,92.28624894805469,142
QM0122,Hospital C,Q1 2025,Treatment Adherence,Good,82.5629324215846,197
QM0123,Hospital A,Q3 2025,Patient Safety,Excellent,97.08543074635904,114
QM0124,Hospital E,Q4 2025,Treatment Adherence,NA,73.54574936288955,161
QM0125,Hospital A,Q1 2025,Diagnostic Accuracy,Excellent,95.462967349286,158
QM0126,Hospital D,Q4 2025,Diagnostic Accuracy,Good,79.95622339940982,130
QM0127,Hospital E,Q4 2025,Treatment Adherence,Fair,63.224622743315194,154
QM0128,Hospital A,Q1 2025,Diagnostic Accuracy,Good,78.51842245741221,153
QM0129,Hospital A,Q2 2025,Timely Reporting,Good,82.64377421661585,84
QM0130,Hospital D,Q3 2025,Patient Safety,Fair,65.90899182522551,178
QM0131,Hospital B,Q3 2025,Patient Safety,Excellent,92.31060112278051,121
QM0132,Hospital A,Q4 2025,Patient Safety,Fair,58.24729631636156,134
QM0133,Hospital D,Q1 2025,Treatment Adherence,Poor,43.59035046197179,237
QM0134,Hospital A,Q2 2025,Patient Safety,Excellent,96.81976266235466,136
QM0135,Hospital B,Q3 2025,Timely Reporting,Excellent,92.12385196608872,146
QM0136,Hospital A,Q1 2025,Treatment Adherence,Excellent,91.56550398242192,120
QM0137,Hospital A,Q1 2025,Patient Safety,Good,82.0289236801736,56
QM0138,Hospital A,Q3 2025,Diagnostic Accuracy,Fair,56.328514161478935,124
QM0139,Hospital A,Q2 2025,Diagnostic Accuracy,Fair,63.68489373709815,122
QM0140,Hospital E,Q2 2025,Diagnostic Accuracy,Good,86.09969830297119,137
QM0141,Hospital A,Q4 2025,Treatment Adherence,Excellent,97.39040296610014,104
QM0142,Hospital E,Q1 2025,Timely Reporting,Excellent,99.79253397864564,97
QM0143,Hospital E,Q2 2025,Treatment Adherence,Excellent,97.98281731275827,92
QM0144,Hospital E,Q2 2025,Patient Safety,Good,76.60059190133853,102
QM0145,Hospital D,Q2 2025,Timely Reporting,NA,93.84682370866942,119
QM0146,Hospital E,Q3 2025,Diagnostic Accuracy,Good,83.51220718608305,108
QM0147,Hospital C,Q1 2025,Treatment Adherence,Good,78.75658688425634,158
QM0148,Hospital E,Q3 2025,Timely Reporting,Excellent,92.43064533632047,96
QM0149,Hospital A,Q4 2025,Diagnostic Accuracy,Excellent,94.44010262112174,220
QM0150,Hospital C,Q3 2025,Timely Reporting,Good,NA,111
QM0151,Hospital D,Q2 2025,Treatment Adherence,Good,NA,134
QM0152,Hospital B,Q2 2025,Timely Reporting,Good,77.22950462066262,116
QM0153,Hospital A,Q3 2025,Timely Reporting,Good,82.49719910686215,101
QM0154,Hospital D,Q1 2025,Diagnostic Accuracy,Good,85.19145894599997,172
QM0155,Hospital B,Q2 2025,Treatment Adherence,Good,72.92745175270517,193
QM0156,Hospital D,Q3 2025,Diagnostic Accuracy,Good,78.00932658723293,146
QM0157,Hospital E,Q2 2025,Patient Safety,Good,72.00743509824271,127
QM0158,Hospital D,Q4 2025,Timely Reporting,Good,81.23787040442348,135
QM0159,Hospital A,Q4 2025,Patient Safety,Excellent,91.26675343536549,57
QM0160,Hospital D,Q1 2025,Patient Safety,Good,77.22286670090836,105
QM0161,Hospital C,Q2 2025,Timely Reporting,Good,80.51083754323002,117
QM0162,Hospital C,Q4 2025,Timely Reporting,Good,81.79225072619701,109
QM0163,Hospital E,Q3 2025,Treatment Adherence,Good,78.53729291067313,170
QM0164,Hospital D,Q4 2025,Patient Safety,Fair,60.78510800787667,164
QM0165,Hospital E,Q3 2025,Timely Reporting,Good,79.28541171041428,186
QM0166,Hospital D,Q4 2025,Patient Safety,Good,92.83753167241983,126
QM0167,Hospital E,Q2 2025,Treatment Adherence,Excellent,92.74329616546805,174
QM0168,Hospital C,Q4 2025,Treatment Adherence,Poor,53.221708622012784,206
QM0169,Hospital B,Q2 2025,Treatment Adherence,Excellent,93.36626355433353,149
QM0170,Hospital A,Q2 2025,Diagnostic Accuracy,Fair,62.218034084579244,124
QM0171,Hospital D,Q4 2025,Diagnostic Accuracy,Excellent,91.09478550569195,200
QM0172,Hospital E,Q1 2025,Timely Reporting,Fair,47.73949767660092,144
QM0173,Hospital E,Q4 2025,Diagnostic Accuracy,Excellent,97.34684831917527,152
QM0174,Hospital B,Q4 2025,Diagnostic Accuracy,Good,87.87358548123548,93
QM0175,Hospital D,Q3 2025,Patient Safety,Good,83.392526304787,150
QM0176,Hospital A,Q1 2025,Patient Safety,Good,93.2037328473405,174
QM0177,Hospital B,Q2 2025,Patient Safety,Poor,40.30913971875423,117
QM0178,Hospital C,Q4 2025,Patient Safety,Good,75.21416658852475,205
QM0179,Hospital B,Q4 2025,Treatment Adherence,Excellent,94.39038747746878,199
QM0180,Hospital D,Q2 2025,Timely Reporting,Excellent,94.6272716640175,148
