English	Turkish
Small final sample size (N = {n}). Each case represents more than 3 percentage points of the total. Percentages in sparse categories can be unstable and individual cases may be identifiable. Report counts alongside percentages.	Son örneklem büyüklüğü küçük (N = {n}). Her olgu toplamın 3 yüzde puanından fazlasını temsil eder. Seyrek kategorilerde yüzdeler kararsız olabilir ve bireysel olgular tanınabilir. Yüzdelerle birlikte sayıları da bildirin.
Some frequency tables could not be produced. Review the Not tabulated details below. Supplementary summaries and copy-ready text are withheld because the output is incomplete.	Bazı frekans tabloları üretilemedi. Aşağıdaki Tablolanmadı ayrıntılarını inceleyin. Çıktı tamamlanmadığından ek özetler ve kopyalanabilir metin gösterilmedi.
Substantial missing data were present ({percent} of cases with at least one missing value).	Önemli ölçüde eksik veri vardı (olguların {percent} kadarında en az bir eksik değer).
Summarise continuous variables as median (Q1, Q3) rather than mean (SD). Use for skewed measurements. Applies to the 'tableone' style only.	Sürekli değişkenleri ortalama (SS) yerine medyan (Q1, Q3) olarak özetle. Çarpık dağılımlı ölçümlerde kullanın. Yalnızca 'tableone' stili için geçerlidir.
Summary	Özet
Summary Table (gtsummary)	Özet Tablo (gtsummary)
Table One	Tablo Bir
Table One Output (tableone)	Tablo Bir Çıktısı (tableone)
Table One summarizes baseline characteristics of {n} case. Variables included {variables}. {missing}	Tablo Bir, {n} olgunun başlangıç özelliklerini özetlemektedir. Dahil edilen değişkenler: {variables}. {missing}
Table One summarizes baseline characteristics of {n} cases. Variables included {variables}. {missing}	Tablo Bir, {n} olgunun başlangıç özelliklerini özetlemektedir. Dahil edilen değişkenler: {variables}. {missing}
Table One summarizes baseline characteristics of the {n} case with complete data for all listed variables (of {screened} screened). Variables included {variables}. {missing}	Tablo Bir, taranan {screened} olgudan listelenen tüm değişkenleri tam olan {n} olgunun başlangıç özelliklerini özetlemektedir. Dahil edilen değişkenler: {variables}. {missing}
Table One summarizes baseline characteristics of the {n} cases with complete data for all listed variables (of {screened} screened). Variables included {variables}. {missing}	Tablo Bir, taranan {screened} olgudan listelenen tüm değişkenleri tam olan {n} olgunun başlangıç özelliklerini özetlemektedir. Dahil edilen değişkenler: {variables}. {missing}
Table One summarizes characteristics of the overall cohort, such as demographics, tumor grade and laboratory measurements. It does not stratify by group or compute p-values, confidence intervals or standardized mean differences.	Tablo Bir, demografik özellikler, tümör derecesi ve laboratuvar ölçümleri gibi tüm kohortun özelliklerini özetler. Gruplara göre tabakalama yapmaz; p-değeri, güven aralığı veya standartlaştırılmış ortalama farkı hesaplamaz.
Table style	Tablo stili
tableone (Standard medical format)	tableone (Standart tıbbi biçim)
tableone: continuous variables as mean (SD), or median (Q1, Q3) when requested; categorical variables as N (percent). Missingness is shown as a percentage column. Only the second level of a binary factor is displayed, with that level named.	tableone: sürekli değişkenler ortalama (SS) veya istendiğinde medyan (Q1, Q3); kategorik değişkenler N (yüzde) olarak gösterilir. Eksiklik bir yüzde sütununda gösterilir. İkili faktörün yalnızca ikinci düzeyi, düzey adıyla birlikte gösterilir.
The dataset for analysis.	Analiz için veri kümesi.
The Table One summary was computed but could not be formatted for display: {error}. Try another table style, or deselect variables with unusual storage types.	Tablo Bir özeti hesaplandı ancak görüntüleme için biçimlendirilemedi: {error}. Başka bir tablo stili deneyin veya alışılmadık veri türleri olan değişkenleri kaldırın.
The tableone median option is disabled: numeric measurements are reported as mean (SD) in that style.	Tableone medyan seçeneği kapalı: bu stilde sayısal ölçümler ortalama (SS) olarak bildirilir.
The tableone median option is enabled: numeric measurements are reported as median (Q1, Q3) in that style.	Tableone medyan seçeneği açık: bu stilde sayısal ölçümler medyan (Q1, Q3) olarak bildirilir.
These are descriptive screening heuristics, not validated clinical cutoffs or tests of statistical assumptions.	Bunlar betimsel ön inceleme kurallarıdır; doğrulanmış klinik eşikler veya istatistiksel varsayım testleri değildir.
This analysis describes the overall cohort only. It does not compare groups or compute p-values, confidence intervals or standardized mean differences.	Bu analiz yalnızca tüm kohortu betimler. Grupları karşılaştırmaz; p-değeri, güven aralığı veya standartlaştırılmış ortalama farkı hesaplamaz.
This Table One summarizes baseline characteristics commonly reported in clinical research manuscripts.	Bu Tablo Bir, klinik araştırma makalelerinde sıklıkla bildirilen başlangıç özelliklerini özetler.
Unsupported non-scalar columns: {variables}. Matrix, array and list columns cannot be summarized. Select scalar columns or explicitly extract the intended measurements first.	Desteklenmeyen skaler olmayan sütunlar: {variables}. Matris, dizi ve liste sütunları özetlenemez. Skaler sütunları seçin veya amaçlanan ölçümleri önce açıkça çıkarın.
Unsupported storage type. Use numeric measurements, factors (including ordered factors), text or logical variables. Convert dates or time intervals to explicitly defined measurements before analysis. Omitted variables do not enter missing-value exclusion or supplementary summaries.	Desteklenmeyen veri türü. Sayısal ölçüm, faktör (sıralı faktörler dahil), metin veya mantıksal değişken kullanın. Tarihleri veya zaman aralıklarını analizden önce açıkça tanımlanmış ölçümlere dönüştürün. Atlanan değişkenler eksik değer dışlamaya veya ek özetlere girmez.
Unused factor levels are not displayed.	Kullanılmayan faktör düzeyleri gösterilmez.
Valid Percent	Geçerli Yüzde
Variable '{variable}' has many unique text values. Consider grouping categories.	'{variable}' değişkeninde çok sayıda benzersiz metin değeri var. Kategorileri gruplamayı düşünün.
Variable '{variable}' is stored as a number but has only {n} distinct values.	'{variable}' değişkeni sayısal saklanıyor ancak yalnızca {n} farklı değeri var.
Variable types	Değişken türleri
Variables	Değişkenler
Variables with >20% missing: {variables}	%20'den fazla eksik değeri olan değişkenler: {variables}
Very small final sample size (N = {n}). With fewer than 10 cases, one case represents more than 10 percentage points of the total. Summaries can be sensitive to individual observations. Report counts and consider the risk of identifying individuals. This analysis is descriptive only; no test or confidence interval is computed.	Son örneklem büyüklüğü çok küçük (N = {n}). 10'dan az olguda tek bir olgu toplamın 10 yüzde puanından fazlasını temsil eder. Özetler tekil gözlemlerden etkilenebilir. Sayıları bildirin ve bireylerin tanınma riskini değerlendirin. Bu analiz yalnızca betimseldir; test veya güven aralığı hesaplanmaz.
Warnings	Uyarılar
Welcome to the ClinicoPath Table One Generator	ClinicoPath Tablo Bir Oluşturucuya Hoş Geldiniz
