"file","test","failed","skipped","error","warning","passed"
"test-survivalPower-reporting.R","count options reject fractional values at the option boundary",0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","the narrative interpretation panel is off unless requested",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","the educational panel states clinically correct definitions",0,FALSE,FALSE,0,4
"test-survivalPower-reporting.R","the guided workflow does not claim progress it cannot observe",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","the sensitivity plot draws its base-case highlight",0,FALSE,FALSE,0,2
"test-survivalPower-reporting.R","sensitivity scenarios are compared like with like",0,FALSE,FALSE,0,3
"test-survivalPower-simulation.R","Simulation validation integrates correctly with sample size calculation",0,FALSE,FALSE,0,6
"test-survivalPower-simulation.R","Non-exponential distributions are refused, not silently mis-computed",0,FALSE,FALSE,0,9
"test-survivalPower-simulation.R","Exponential remains selectable and unaffected by the distribution gate",0,FALSE,FALSE,0,2
"test-survivalPower-simulation.R","Simulation validation works with power calculation",0,FALSE,FALSE,0,1
"test-survivalPower-simulation.R","Simulation validation is skipped when not requested",0,FALSE,FALSE,0,1
"test-survivalPower.R","survivalPower function exists and basic functionality works",0,FALSE,FALSE,0,3
"test-survivalPower.R","Log-rank test: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Effect size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Log-rank test: Duration calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Cox regression: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Cox regression: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Non-inferiority: Sample size calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Non-inferiority: Power calculation works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Parameter validation: Exponential distribution requirement",0,FALSE,FALSE,0,2
"test-survivalPower.R","Parameter validation: Effect size bounds",0,FALSE,FALSE,0,3
"test-survivalPower.R","Parameter validation: Alpha level bounds",0,FALSE,FALSE,0,1
"test-survivalPower.R","Parameter validation: Power level bounds",0,FALSE,FALSE,0,1
"test-survivalPower.R","Allocation ratio: Unequal allocation (2:1) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Allocation ratio: Unequal allocation (1:2) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Dropout handling: Annual dropout rate accounted for",0,FALSE,FALSE,0,1
"test-survivalPower.R","KNOWN LIMITATION: Competing risks test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: RMST test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: SNP survival test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","KNOWN LIMITATION: Weighted log-rank test not implemented",0,FALSE,FALSE,0,2
"test-survivalPower.R","Edge case: Very high power (0.95) works",0,FALSE,FALSE,0,1
"test-survivalPower.R","Edge case: Small effect size (HR=0.90) requires large sample",0,FALSE,FALSE,0,1
"test-survivalPower.R","Edge case: Large effect size (HR=0.50) requires small sample",0,FALSE,FALSE,0,1
