"file","context","test","nb","failed","skipped","error","warning","user","system","real","passed"
"test-survivalPower-events.R","survivalPower-events","presets recover a usable design after unsupported settings were selected",31,0,FALSE,FALSE,0,0.0420000000000016,0.0210000000000008,0.216000000000001,31
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","achieved power drives assessment, independently of requested power",15,0,FALSE,FALSE,0,0.119,0.0199999999999996,0.140999999999998,15
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","solved durations and calendar event milestones propagate to displays",7,0,FALSE,FALSE,0,0.0889999999999986,0.0149999999999988,0.103999999999999,7
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","detectable effect summaries use the solved HR and its events",9,0,FALSE,FALSE,0,0.0840000000000032,0.0150000000000006,0.100000000000001,9
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","cluster enrollment uses complete allocation blocks and discloses limitations",20,0,FALSE,FALSE,0,0.293999999999997,0.0500000000000007,0.352000000000004,20
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","event-free simulations have finite uncertainty and explicit diagnostics",9,0,FALSE,FALSE,0,0.250999999999998,0.0419999999999998,0.315000000000005,9
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","NI objectives are consistent across every narrative and analysis mode",34,0,FALSE,FALSE,0,0.225000000000001,0.0460000000000012,0.275999999999996,34
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","Cox headlines, plots, sensitivity and inverse calculations share a method",13,0,FALSE,FALSE,0,0.425000000000004,0.0630000000000006,0.491999999999997,13
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","equivalent effect specifications support signed differences and full HR bounds",17,0,FALSE,FALSE,0,0.869,0.109,0.990000000000002,17
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","unsupported sensitivity modes produce no placeholder scenarios or hidden plots",8,0,FALSE,FALSE,0,0.080999999999996,0.0150000000000006,0.097999999999999,8
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","preset help accurately describes R and GUI behavior",2,0,FALSE,FALSE,0,0.0850000000000009,0.0139999999999993,0.103999999999999,2
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","simulation failures retain events and warnings without claiming convergence",17,0,FALSE,FALSE,0,0.213000000000001,0.0360000000000014,0.255000000000003,17
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","Cox simulation comparison uses achieved power of the selected method",5,0,FALSE,FALSE,0,2.316,0.395,2.816,5
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","sequential Cox power preserves null alpha and gates missing upstream support",5,0,FALSE,FALSE,0,0.317999999999998,0.0549999999999997,0.384999999999991,5
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","sequential Cox enrollment attains target power in both effect directions",16,0,FALSE,FALSE,0,27.003,5.874,35.513,16
"test-survivalPower-full-audit-fixes.R","survivalPower-full-audit-fixes","notices prioritize severity and deduplicate repeated diagnostics",5,0,FALSE,FALSE,0,0.0390000000000015,0.00600000000000023,0.0459999999999923,5
"test-survivalPower-interim-and-ni.R","survivalPower-interim-and-ni","a non-inferiority effect at or beyond the margin yields no sample size",8,0,FALSE,FALSE,0,0.135000000000005,0.0210000000000008,0.156000000000006,8
"test-survivalPower-interim-and-ni.R","survivalPower-interim-and-ni","interim analyses reach gsDesign and inflate the sample size",5,0,FALSE,FALSE,0,2.50699999999999,0.503,3.105,5
"test-survivalPower-interim-and-ni.R","survivalPower-interim-and-ni","interim boundaries and spend come from the design, not hand arithmetic",8,0,FALSE,FALSE,0,2.03100000000001,0.315999999999999,2.373,8
"test-survivalPower-interim-and-ni.R","survivalPower-interim-and-ni","Cox duration and detectable effect invert the chosen method",4,0,FALSE,FALSE,0,0.203000000000003,0.0239999999999974,0.227000000000004,4
"test-survivalPower-interim-and-ni.R","survivalPower-interim-and-ni","Monte Carlo validation is seeded and run once per analysis",3,0,FALSE,FALSE,0,5.633,0.460999999999999,6.16200000000001,3
"test-survivalPower-release-review.R","survivalPower-release-review","Weibull scale is the true inverse of the requested median",6,0,FALSE,FALSE,0,0.174000000000007,0.0249999999999986,0.203999999999994,6
"test-survivalPower-release-review.R","survivalPower-release-review","Weibull medians match stats::qweibull",6,0,FALSE,FALSE,0,0.0919999999999987,0.0180000000000007,0.111000000000004,6
"test-survivalPower-release-review.R","survivalPower-release-review","Weibull treatment scale encodes proportional hazards",9,0,FALSE,FALSE,0,0.326000000000008,0.0500000000000007,0.381,9
"test-survivalPower-release-review.R","survivalPower-release-review","Simulator accepts the parameter names the getter actually returns",9,0,FALSE,FALSE,0,0.116,0.0209999999999972,0.137999999999991,9
"test-survivalPower-release-review.R","survivalPower-release-review","Simulated Weibull data recovers the requested median",3,0,FALSE,FALSE,0,0.106999999999999,0.0140000000000029,0.122,3
"test-survivalPower-release-review.R","survivalPower-release-review","Seeded simulation validation is reproducible",1,0,FALSE,FALSE,0,0.632999999999996,0.0799999999999983,0.716999999999999,1
"test-survivalPower-release-review.R","survivalPower-release-review","Simulated power agrees with the analytical power it validates",2,0,FALSE,FALSE,0,2.14100000000001,0.193999999999999,2.34399999999999,2
"test-survivalPower-release-review.R","survivalPower-release-review","Schoenfeld event counts match gsDesign",4,0,FALSE,FALSE,0,0.0420000000000016,0.00799999999999912,0.0500000000000114,4
"test-survivalPower-release-review.R","survivalPower-release-review","Event probability matches numerical integration over accrual",3,0,FALSE,FALSE,0,0.039999999999992,0.00599999999999667,0.0460000000000065,3
"test-survivalPower-reporting.R","survivalPower-reporting","narrative output reports the hazard ratio the analysis actually used",7,0,FALSE,FALSE,0,0.147000000000006,0.0279999999999987,0.175999999999988,7
"test-survivalPower-reporting.R","survivalPower-reporting","a multi-arm trial is sized as a trial, not as one pairwise comparison",6,0,FALSE,FALSE,0,0.213000000000008,0.0280000000000022,0.242000000000004,6
"test-survivalPower-reporting.R","survivalPower-reporting","total study power is a probability, not an invented multiplier",9,0,FALSE,FALSE,0,0.745999999999995,0.0539999999999985,0.810000000000002,9
"test-survivalPower-reporting.R","survivalPower-reporting","the copy-ready sentence states the test that was actually run",6,0,FALSE,FALSE,0,0.11399999999999,0.0150000000000006,0.129999999999995,6
"test-survivalPower-reporting.R","survivalPower-reporting","regulatory guidance matches the convention for the test being run",5,0,FALSE,FALSE,0,0.0409999999999968,0.0069999999999979,0.0490000000000066,5
"test-survivalPower-reporting.R","survivalPower-reporting","plots are drawn for the design that was reported",11,0,FALSE,FALSE,0,0.260999999999996,0.0459999999999994,0.311000000000007,11
"test-survivalPower-reporting.R","survivalPower-reporting","analysis-specific interpretation and detail tables are populated",4,0,FALSE,FALSE,0,0.0699999999999932,0.0150000000000006,0.0859999999999985,4
"test-survivalPower-reporting.R","survivalPower-reporting","an unreachable event target explains itself",3,0,FALSE,FALSE,0,0.126999999999995,0.0300000000000011,0.159999999999997,3
"test-survivalPower-reporting.R","survivalPower-reporting","the glossary describes the allocation ratio the code implements",3,0,FALSE,FALSE,0,0.0679999999999978,0.00900000000000034,0.078000000000003,3
"test-survivalPower-reporting.R","survivalPower-reporting","Cox honours the same design adjustments as log-rank",2,0,FALSE,FALSE,0,0.143000000000001,0.0199999999999996,0.164999999999992,2
"test-survivalPower-reporting.R","survivalPower-reporting","non-uniform accrual is refused rather than silently treated as uniform",7,0,FALSE,FALSE,0,0.162000000000006,0.0199999999999996,0.183000000000007,7
"test-survivalPower-reporting.R","survivalPower-reporting","simulation validation runs only for the test it actually simulates",3,0,FALSE,FALSE,0,1.42599999999999,0.134999999999998,1.571,3
"test-survivalPower-reporting.R","survivalPower-reporting","the Monte Carlo loop is interruptible and a restart is not swallowed",7,0,FALSE,FALSE,0,2.90900000000001,0.488,3.494,7
"test-survivalPower-reporting.R","survivalPower-reporting","count options reject fractional values at the option boundary",4,0,FALSE,FALSE,0,0.070999999999998,0.0259999999999998,0.102999999999994,4
"test-survivalPower-reporting.R","survivalPower-reporting","the narrative interpretation panel is off unless requested",2,0,FALSE,FALSE,0,0.0810000000000031,0.0549999999999997,0.146999999999991,2
"test-survivalPower-reporting.R","survivalPower-reporting","the educational panel states clinically correct definitions",4,0,FALSE,FALSE,0,0.194999999999993,0.0989999999999966,0.301000000000002,4
"test-survivalPower-reporting.R","survivalPower-reporting","the guided workflow does not claim progress it cannot observe",2,0,FALSE,FALSE,0,0.0379999999999967,0.00700000000000145,0.0459999999999923,2
"test-survivalPower-reporting.R","survivalPower-reporting","the sensitivity plot draws its base-case highlight",2,0,FALSE,FALSE,0,0.0559999999999974,0.0139999999999993,0.0720000000000027,2
"test-survivalPower-reporting.R","survivalPower-reporting","sensitivity scenarios are compared like with like",3,0,FALSE,FALSE,0,0.119,0.0229999999999997,0.149000000000001,3
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation integrates correctly with sample size calculation",6,0,FALSE,FALSE,0,1.548,0.393000000000001,2.105,6
"test-survivalPower-simulation.R","survivalPower-simulation","Non-exponential distributions are refused, not silently mis-computed",9,0,FALSE,FALSE,0,0.113,0.0199999999999996,0.135000000000005,9
"test-survivalPower-simulation.R","survivalPower-simulation","Exponential remains selectable and unaffected by the distribution gate",2,0,FALSE,FALSE,0,0.0369999999999919,0.00600000000000023,0.0439999999999969,2
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation works with power calculation",1,0,FALSE,FALSE,0,1.021,0.158999999999999,1.18400000000001,1
"test-survivalPower-simulation.R","survivalPower-simulation","Simulation validation is skipped when not requested",1,0,FALSE,FALSE,0,0.0409999999999968,0.00600000000000023,0.046999999999997,1
"test-survivalPower.R","survivalPower","survivalPower function exists and basic functionality works",3,0,FALSE,FALSE,0,0.0389999999999873,0.0069999999999979,0.0489999999999782,3
"test-survivalPower.R","survivalPower","Log-rank test: Sample size calculation works",1,0,FALSE,FALSE,0,0.0349999999999966,0.004999999999999,0.0409999999999968,1
"test-survivalPower.R","survivalPower","Log-rank test: Power calculation works",1,0,FALSE,FALSE,0,0.0330000000000013,0.00500000000000256,0.0380000000000109,1
"test-survivalPower.R","survivalPower","Log-rank test: Effect size calculation works",1,0,FALSE,FALSE,0,0.0959999999999894,0.00900000000000034,0.106999999999999,1
"test-survivalPower.R","survivalPower","Log-rank test: Duration calculation works",1,0,FALSE,FALSE,0,0.0409999999999968,0.00400000000000134,0.0450000000000159,1
"test-survivalPower.R","survivalPower","Cox regression: Sample size calculation works",1,0,FALSE,FALSE,0,0.0499999999999972,0.00600000000000023,0.0559999999999832,1
"test-survivalPower.R","survivalPower","Cox regression: Power calculation works",1,0,FALSE,FALSE,0,0.0330000000000013,0.00400000000000134,0.0370000000000061,1
"test-survivalPower.R","survivalPower","Non-inferiority: Sample size calculation works",1,0,FALSE,FALSE,0,0.0360000000000014,0.004999999999999,0.039999999999992,1
"test-survivalPower.R","survivalPower","Non-inferiority: Power calculation works",1,0,FALSE,FALSE,0,0.034000000000006,0.00400000000000134,0.0389999999999873,1
"test-survivalPower.R","survivalPower","Parameter validation: Exponential distribution requirement",2,0,FALSE,FALSE,0,0.0309999999999917,0.00400000000000134,0.0349999999999966,2
"test-survivalPower.R","survivalPower","Parameter validation: Effect size bounds",5,0,FALSE,FALSE,0,0.0949999999999989,0.0129999999999981,0.108000000000004,5
"test-survivalPower.R","survivalPower","Parameter validation: Alpha level bounds",1,0,FALSE,FALSE,0,0.0220000000000056,0.00400000000000134,0.0249999999999773,1
"test-survivalPower.R","survivalPower","Parameter validation: Power level bounds",1,0,FALSE,FALSE,0,0.0250000000000057,0.00300000000000011,0.0289999999999964,1
"test-survivalPower.R","survivalPower","Allocation ratio: Unequal allocation (2:1) works",1,0,FALSE,FALSE,0,0.0349999999999966,0.00400000000000134,0.0389999999999873,1
"test-survivalPower.R","survivalPower","Allocation ratio: Unequal allocation (1:2) works",1,0,FALSE,FALSE,0,0.0339999999999918,0.00399999999999778,0.0390000000000157,1
"test-survivalPower.R","survivalPower","Dropout handling: Annual dropout rate accounted for",1,0,FALSE,FALSE,0,0.0349999999999966,0.00500000000000256,0.039999999999992,1
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: Competing risks test not implemented",2,0,FALSE,FALSE,0,0.0309999999999917,0.0069999999999979,0.0370000000000061,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: RMST test not implemented",2,0,FALSE,FALSE,0,0.0810000000000031,0.0100000000000016,0.0910000000000082,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: SNP survival test not implemented",2,0,FALSE,FALSE,0,0.0510000000000019,0.00400000000000134,0.0560000000000116,2
"test-survivalPower.R","survivalPower","KNOWN LIMITATION: Weighted log-rank test not implemented",2,0,FALSE,FALSE,0,0.0310000000000059,0.00399999999999778,0.0349999999999966,2
"test-survivalPower.R","survivalPower","Edge case: Very high power (0.95) works",1,0,FALSE,FALSE,0,0.0349999999999966,0.00500000000000256,0.0389999999999873,1
"test-survivalPower.R","survivalPower","Edge case: Small effect size (HR=0.90) requires large sample",1,0,FALSE,FALSE,0,0.034000000000006,0.004999999999999,0.0380000000000109,1
"test-survivalPower.R","survivalPower","Edge case: Large effect size (HR=0.50) requires small sample",1,0,FALSE,FALSE,0,0.0349999999999966,0.00399999999999778,0.0390000000000157,1
